Template_ID,Donor_Type,Solvent,Solvent_Component_IDs,Catalyst,Catalyst_Component_IDs,Temp_C,Time_min,has_solvent,has_catalyst,has_temp,has_time,Template_Support_Count,Alpha_Success_Count,Beta_Success_Count,Representative_Reaction_ID,Supporting_Reaction_IDs,Supporting_Sources,Condition_Recipe_Completeness,Unique_Full_Reaction_Count
CT_81a57c8eff2f7237,thioglycoside,Dichloromethane,3,N-Iodosuccinimide,5,25.0,30.0,1,1,1,1,66,26,40,31-013-CAS-15304342,31-013-CAS-10140172;31-013-CAS-10233903;31-013-CAS-11290150;31-013-CAS-11369982;31-013-CAS-11416677;31-013-CAS-11796224;31-013-CAS-1183257;31-013-CAS-12119921;31-013-CAS-12273664;31-013-CAS-1281187;31-013-CAS-13149231;31-013-CAS-13476910;31-013-CAS-13925780;31-013-CAS-14240488;31-013-CAS-14741869;31-013-CAS-15150591;31-013-CAS-15280740;31-013-CAS-15304342;31-013-CAS-15500340;31-013-CAS-1686035;31-013-CAS-1712789;31-013-CAS-1891598;31-013-CAS-18987289;31-013-CAS-18987290;31-013-CAS-18987292;31-013-CAS-19796379;31-013-CAS-20623534;31-013-CAS-20818644;31-013-CAS-20818648;31-013-CAS-21013682;31-013-CAS-2220531;31-013-CAS-2382764;31-013-CAS-2515446;31-013-CAS-2665220;31-013-CAS-2832294;31-013-CAS-3287675;31-013-CAS-3407711;31-013-CAS-3733563;31-013-CAS-3859987;31-013-CAS-4037463;31-013-CAS-4159257;31-013-CAS-4171613;31-013-CAS-440332;31-013-CAS-4651113;31-013-CAS-4786494;31-013-CAS-503131;31-013-CAS-5127134;31-013-CAS-5440454;31-013-CAS-5548184;31-013-CAS-5891655;31-013-CAS-6023114;31-013-CAS-6495154;31-013-CAS-6916824;31-013-CAS-7578178;31-013-CAS-7643019;31-013-CAS-8100988;31-013-CAS-8143526;31-013-CAS-847824;31-013-CAS-850505;31-013-CAS-8631144;31-013-CAS-9394061;31-013-CAS-9655089;31-013-CAS-9812928;31-013-CAS-9988480;31-614-CAS-39654500;31-614-CAS-44833731,"Angewandte Chemie, International Edition (2023), 62(1), e202211985;Carbohydrate Research (2004), 339(2), 181-193;Chemistry - A European Journal (2004), 10(14), 3517-3524;Chemistry - A European Journal (2005), 11(18), 5457-5467;Chemistry - An Asian Journal (2019), 14(1), 223-234;European Journal of Organic Chemistry (2010), (13), 2565-2570;European Journal of Organic Chemistry (2013), 2013(32), 7382-7390;European Journal of Organic Chemistry (2018), 2018(25), 3312-3316;Journal of Organic Chemistry (2019), 84(23), 15063-15078;Journal of the American Chemical Society (2005), 127(27), 9692-9693;Journal of the American Chemical Society (2009), 131(47), 17394-17405;Journal of the American Chemical Society (2020), 142(1), 456-467;Organic & Biomolecular Chemistry (2012), 10(48), 9570-9582;Synthesis (2024), 56(3), 487-495;Tetrahedron (2008), 64(37), 8685-8691;United States, US20120142560 A1 2012-06-07;United States, US20180264125 A1 2018-09-20;World Intellectual Property Organization, WO2010117803 A2 2010-10-14",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,38
CT_ed2a5d002341800e,thioglycoside,Dichloromethane,3,N-Iodosuccinimide,5,25.0,60.0,1,1,1,1,29,8,21,31-013-CAS-17381406,31-013-CAS-10137508;31-013-CAS-10911479;31-013-CAS-12025130;31-013-CAS-12139860;31-013-CAS-13251956;31-013-CAS-17381406;31-013-CAS-17381408;31-013-CAS-17381410;31-013-CAS-17381412;31-013-CAS-17381425;31-013-CAS-17386196;31-013-CAS-19037577;31-013-CAS-19037590;31-013-CAS-20150689;31-013-CAS-20164630;31-013-CAS-20623539;31-013-CAS-20623541;31-013-CAS-20623543;31-013-CAS-21905508;31-013-CAS-3522722;31-013-CAS-3967489;31-013-CAS-5008597;31-013-CAS-5060810;31-013-CAS-5918493;31-013-CAS-7955565;31-614-CAS-24371495;31-614-CAS-31005281;31-614-CAS-44041084;31-614-CAS-44041095,"ACS Central Science (2017), 3(3), 224-231;Bioconjugate Chemistry (2020), 31(10), 2362-2366;Carbohydrate Research (2006), 341(14), 2420-2425;Carbohydrate Research (2011), 346(14), 2113-2120;Chemistry - A European Journal (2023), 29(64), e202302288;European Journal of Organic Chemistry (2013), 2013(32), 7382-7390;European Journal of Organic Chemistry (2014), 2014(15), 3232-3241;Journal of Medicinal Chemistry (2020), 63(8), 4227-4255;Journal of Organic Chemistry (2019), 84(11), 6576-6588;Journal of the American Chemical Society (2012), 134(37), 15556-15562;Journal of the American Chemical Society (2012), 134(39), 16430-16433;Journal of the American Chemical Society (2013), 135(45), 16895-16903;Organic & Biomolecular Chemistry (2012), 10(15), 3019-3032;Synthesis (2009), (15), 2584-2590;Tetrahedron Letters (2019), 60(12), 860-863;Tetrahedron: Asymmetry (2009), 20(4), 473-477;United States, US20180264125 A1 2018-09-20;World Intellectual Property Organization, WO2017156192 A1 2017-09-14",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,28
CT_59b90124651fa728,thioglycoside,Dichloromethane,3,Triethylamine,4,25.0,60.0,1,1,1,1,20,6,14,31-013-CAS-7917329,31-006-CAS-13795131;31-013-CAS-10462327;31-013-CAS-1058357;31-013-CAS-12414632;31-013-CAS-12548374;31-013-CAS-13317444;31-013-CAS-14430869;31-013-CAS-15444979;31-013-CAS-21905507;31-013-CAS-21905513;31-013-CAS-22660148;31-013-CAS-3447636;31-013-CAS-7917329;31-614-CAS-24371505;31-614-CAS-24501395;31-614-CAS-28412006;31-614-CAS-29779875;31-614-CAS-35398222;31-614-CAS-39596688;31-614-CAS-44130786,"ACS Chemical Biology (2020), 15(9), 2382-2394;Bioconjugate Chemistry (2020), 31(10), 2362-2366;European Journal of Organic Chemistry (2020), 2020(34), 5580-5595;Journal of Medicinal Chemistry (2020), 63(8), 4227-4255;Journal of Medicinal Chemistry (2025), 68(3), 3356-3372;Journal of Organic Chemistry (2016), 81(1), 162-184;Journal of Organic Chemistry (2023), 88(9), 5554-5562;Journal of the American Chemical Society (2007), 129(42), 12795-12800;Journal of the American Chemical Society (2012), 134(21), 8988-8995;Journal of the American Chemical Society (2012), 134(39), 16430-16433;Journal of the American Chemical Society (2013), 135(41), 15382-15391;Organic & Biomolecular Chemistry (2014), 12(13), 2087-2098;United States, US11506664 B1 2022-11-22;World Intellectual Property Organization, WO2013184564 A1 2013-12-12",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,19
CT_b40a24940f02663a,thioglycoside,Dichloromethane,3,Trifluoromethanesulfonic acid,6,25.0,30.0,1,1,1,1,14,10,4,31-013-CAS-10436330,31-013-CAS-10316632;31-013-CAS-10436330;31-013-CAS-11609556;31-013-CAS-12459743;31-013-CAS-17868344;31-013-CAS-22357494;31-013-CAS-4038549;31-013-CAS-8718266;31-013-CAS-8835573;31-614-CAS-23946122;31-614-CAS-23946125;31-614-CAS-37587985;31-614-CAS-37587999;31-614-CAS-37588004,"Carbohydrate Research (2008), 343(17), 2863-2869;Carbohydrate Research (2013), 380, 167-173;Chemistry - A European Journal (2018), 24(16), 4181-4187;Journal of the American Chemical Society (2020), 142(11), 5282-5292;Organic Letters (2021), 23(15), 6137-6142;World Intellectual Property Organization, WO2002057284 A1 2002-07-25;World Intellectual Property Organization, WO2010029185 A1 2010-03-18",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,14
CT_4be0008f1c7d58da,thioglycoside,Dichloromethane;Diethyl ether,3;4,Tosyl chloride,13,25.0,30.0,1,1,1,1,13,3,10,31-013-CAS-17081679,31-013-CAS-11511551;31-013-CAS-11715456;31-013-CAS-11784711;31-013-CAS-17081671;31-013-CAS-17081678;31-013-CAS-17081679;31-013-CAS-17081680;31-013-CAS-553402;31-013-CAS-6854088;31-013-CAS-7451088;31-013-CAS-8978171;31-013-CAS-9587188;31-013-CAS-9669067,"Carbohydrate Research (2006), 341(10), 1669-1679;Carbohydrate Research (2016), 435, 180-194;Chemistry - A European Journal (2011), 17(36), 10106-10112, S10106/1-S10106/135",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,13
CT_661325584fc82cd0,thioglycoside,Dichloromethane,3,Trifluoromethanesulfonic acid,6,25.0,60.0,1,1,1,1,12,4,8,31-013-CAS-15603246,31-013-CAS-13170869;31-013-CAS-15603246;31-013-CAS-15619086;31-013-CAS-18776248;31-013-CAS-1922953;31-013-CAS-22357476;31-013-CAS-23877545;31-013-CAS-23879287;31-013-CAS-6287649;31-013-CAS-7584459;31-013-CAS-9083796;31-614-CAS-30873545,"Angewandte Chemie, International Edition (2014), 53(37), 9876-9879;Chemistry - A European Journal (2018), 24(16), 4181-4187;China, CN105315315 A 2016-02-10;Journal of Organic Chemistry (2018), 83(9), 4963-4972;Journal of the American Chemical Society (2003), 125(52), 16334-16339;Journal of the American Chemical Society (2013), 135(41), 15382-15391;Nature Chemical Biology (2019), 15(7), 699-709",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,12
CT_390684f09a1e8511,thioglycoside,Dichloromethane,3,N-Iodosuccinimide,5,25.0,15.0,1,1,1,1,10,10,0,31-013-CAS-7707758,31-013-CAS-11387102;31-013-CAS-11726967;31-013-CAS-12054238;31-013-CAS-14143061;31-013-CAS-17024986;31-013-CAS-5582564;31-013-CAS-7707758;31-013-CAS-9510973;31-013-CAS-972560;31-013-CAS-9842389,"Analytical Chemistry (Washington, DC, United States) (2017), 89(8), 4540-4549;Carbohydrate Research (2003), 338(23), 2591-2603;Organic & Biomolecular Chemistry (2003), 1(5), 775-784",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,10
CT_6d56bce4a517e88a,thioglycoside,Dichloromethane,3,Trifluoromethanesulfonic anhydride,9,-60.0,30.0,1,1,1,1,9,0,9,31-013-CAS-9099641,31-013-CAS-112694;31-013-CAS-2791822;31-013-CAS-4596190;31-013-CAS-4912673;31-013-CAS-667641;31-013-CAS-7065488;31-013-CAS-9099641;31-357-CAS-10990353;31-357-CAS-6725732,"Chemistry Letters (2005), 34(11), 1556-1557;Journal of Organic Chemistry (2009), 74(6), 2486-2493;Journal of the American Chemical Society (2008), 130(41), 13790-13803",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,9
CT_7ba70ecf01afe6d4,thioglycoside,Dichloromethane,3,Trimethylsilyl triflate,3,25.0,60.0,1,1,1,1,9,8,1,31-013-CAS-20074828,31-013-CAS-17386198;31-013-CAS-20074828;31-013-CAS-20074830;31-013-CAS-20074832;31-013-CAS-20074834;31-013-CAS-20074836;31-013-CAS-20074838;31-013-CAS-20074845;31-614-CAS-24501387,"ACS Central Science (2017), 3(3), 224-231;ACS Chemical Biology (2020), 15(9), 2382-2394;World Intellectual Property Organization, WO2018083490 A2 2018-05-11",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,8
CT_d46b817bab6f9186,thioglycoside,Dichloromethane,3,Triethylamine,4,25.0,360.0,1,1,1,1,8,0,8,31-013-CAS-10626850,31-013-CAS-10626850;31-013-CAS-1120171;31-013-CAS-14176615;31-013-CAS-1437307;31-013-CAS-2955443;31-013-CAS-491815;31-013-CAS-5019079;31-013-CAS-9638871,"Journal of Carbohydrate Chemistry (2002), 21(5), 385-409",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,8
