ID,Reaction_ID,donor_mol_wt,donor_heavy_atom_count,donor_hetero_atom_count,donor_h_bond_acceptors,donor_h_bond_donors,donor_tpsa,donor_mol_log_p,donor_fraction_csp3,donor_rotatable_bond_count,donor_ring_count,donor_aliphatic_ring_count,donor_aromatic_ring_count,donor_specified_stereo_centers,donor_unspecified_stereo_centers,donor_oxygen_count,donor_nitrogen_count,donor_sulfur_count,donor_silicon_count,donor_halogen_count,acceptor_mol_wt,acceptor_heavy_atom_count,acceptor_hetero_atom_count,acceptor_h_bond_acceptors,acceptor_h_bond_donors,acceptor_tpsa,acceptor_mol_log_p,acceptor_fraction_csp3,acceptor_rotatable_bond_count,acceptor_ring_count,acceptor_aliphatic_ring_count,acceptor_aromatic_ring_count,acceptor_specified_stereo_centers,acceptor_unspecified_stereo_centers,acceptor_oxygen_count,acceptor_nitrogen_count,acceptor_sulfur_count,acceptor_silicon_count,acceptor_halogen_count
1,31-010-CAS-16952812,636.956,42.0,11.0,8.0,1.0,96.3,6.39467,0.3548387,12.0,4.0,1.0,3.0,5.0,0.0,7.0,1.0,0.0,0.0,3.0,499.684,35.0,9.0,6.0,1.0,105.91,5.5751,0.53846157,10.0,3.0,1.0,2.0,5.0,0.0,5.0,3.0,0.0,1.0,0.0
2,31-010-CAS-19309609,492.692,30.0,14.0,11.0,1.0,147.51,1.43357,0.6875,6.0,1.0,1.0,0.0,5.0,0.0,10.0,1.0,0.0,0.0,3.0,527.738,37.0,9.0,6.0,1.0,105.91,6.2112,0.5714286,12.0,3.0,1.0,2.0,5.0,0.0,5.0,3.0,0.0,1.0,0.0
3,31-010-CAS-14023399,625.069,35.0,18.0,11.0,2.0,159.54,2.96687,0.7058824,7.0,1.0,1.0,0.0,4.0,1.0,10.0,2.0,0.0,0.0,6.0,347.32,24.0,10.0,9.0,2.0,137.46,-1.3652,0.71428573,5.0,1.0,1.0,0.0,5.0,0.0,9.0,1.0,0.0,0.0,0.0
4,31-010-CAS-11496791,677.192,40.0,15.0,8.0,2.0,108.33,6.23997,0.44,7.0,4.0,2.0,2.0,5.0,1.0,7.0,2.0,0.0,0.0,6.0,646.948,42.0,13.0,9.0,2.0,121.78,4.4737,0.44827586,14.0,3.0,1.0,2.0,6.0,0.0,9.0,1.0,0.0,0.0,3.0
5,31-010-CAS-11632053,677.192,40.0,15.0,8.0,2.0,108.33,6.23997,0.44,7.0,4.0,2.0,2.0,6.0,0.0,7.0,2.0,0.0,0.0,6.0,915.553,60.0,13.0,8.0,2.0,104.71,12.7775,0.68085104,28.0,3.0,1.0,2.0,5.0,0.0,8.0,1.0,0.0,1.0,3.0
6,31-010-CAS-8578743,579.773,37.0,15.0,11.0,1.0,158.59,2.16667,0.45454547,6.0,3.0,2.0,1.0,5.0,0.0,10.0,2.0,0.0,0.0,3.0,512.5331,37.0,10.0,9.0,1.0,120.83,2.0967,0.37037036,10.0,4.0,2.0,2.0,5.0,1.0,9.0,1.0,0.0,0.0,0.0
7,31-010-CAS-15480737,579.773,37.0,15.0,11.0,1.0,158.59,2.16667,0.45454547,6.0,3.0,2.0,1.0,5.0,0.0,10.0,2.0,0.0,0.0,3.0,525.554,38.0,10.0,9.0,1.0,120.83,2.4852,0.39285713,10.0,4.0,2.0,2.0,6.0,0.0,9.0,1.0,0.0,0.0,0.0
8,31-010-CAS-14961642,579.773,37.0,15.0,11.0,1.0,158.59,2.16667,0.45454547,6.0,3.0,2.0,1.0,5.0,0.0,10.0,2.0,0.0,0.0,3.0,525.554,38.0,10.0,9.0,1.0,120.83,2.4852,0.39285713,10.0,4.0,2.0,2.0,6.0,0.0,9.0,1.0,0.0,0.0,0.0
9,31-010-CAS-5834517,579.773,37.0,15.0,11.0,1.0,158.59,2.16667,0.45454547,6.0,3.0,2.0,1.0,5.0,0.0,10.0,2.0,0.0,0.0,3.0,525.554,38.0,10.0,9.0,1.0,120.83,2.4852,0.39285713,10.0,4.0,2.0,2.0,6.0,0.0,9.0,1.0,0.0,0.0,0.0
10,31-010-CAS-9377356,579.773,37.0,15.0,11.0,1.0,158.59,2.16667,0.45454547,6.0,3.0,2.0,1.0,5.0,0.0,10.0,2.0,0.0,0.0,3.0,525.554,38.0,10.0,9.0,1.0,120.83,2.4852,0.39285713,10.0,4.0,2.0,2.0,6.0,0.0,9.0,1.0,0.0,0.0,0.0
11,31-010-CAS-11415296,582.817,37.0,14.0,11.0,1.0,147.51,3.04647,0.5217391,10.0,2.0,1.0,1.0,4.0,1.0,10.0,1.0,0.0,0.0,3.0,451.596,31.0,10.0,7.0,1.0,122.98,3.9214,0.6666667,8.0,2.0,1.0,1.0,5.0,0.0,6.0,3.0,0.0,1.0,0.0
12,31-013-CAS-16011297,606.886,40.0,11.0,8.0,1.0,96.3,6.00057,0.31034482,7.0,5.0,2.0,3.0,5.0,1.0,7.0,1.0,0.0,0.0,3.0,413.43,30.0,9.0,7.0,1.0,122.98,2.8399,0.3809524,8.0,3.0,1.0,2.0,5.0,0.0,6.0,3.0,0.0,0.0,0.0
13,31-010-CAS-16011315,606.886,40.0,11.0,8.0,1.0,96.3,6.00057,0.31034482,7.0,5.0,2.0,3.0,6.0,0.0,7.0,1.0,0.0,0.0,3.0,513.667,36.0,10.0,7.0,1.0,122.98,5.2153,0.5,9.0,3.0,1.0,2.0,5.0,0.0,6.0,3.0,0.0,1.0,0.0
