Sample_ID,Pair_ID,Structural_Group_ID,hard_feasibility,Donor_Canonical_SMILES,Acceptor_Canonical_SMILES,Donor_Type,Donor_RFU_Atom_Indices,Donor_RFU_Role_Indices,Donor_C1_Index,Donor_O5_Index,Donor_C2_Index,Donor_LG_Entry_Index,Donor_LG_Core_Indices,Donor_Ring_Context_Indices,Donor_C2_Sub_Entry_Index,Donor_C2_Sub_Entry_Status,Acceptor_Target_Core_Atom_Indices,Acceptor_Target_Core_Num_Atoms,Acceptor_Target_Core_Role_Indices,Acceptor_Target_Local_Atom_Indices,Acceptor_Target_Local_Num_Atoms,Acceptor_Target_Role_Indices,Acceptor_C1_Index,Acceptor_O5_Index,Acceptor_C2_Index,Acceptor_C3_Index,Acceptor_C4_Index,Acceptor_C5_Index,Acceptor_O4_Index,Acceptor_O4_External_Atom_Index
POS-00c3ca63b2a53e8d,PAIR-00c3ca63b2a53e8d,SG-00c3ca63b2a53e8d,1,O=C(O[C@H]1C(OC(=Nc2ccccc2)C(F)(F)F)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,trifluoroacetimidate,2;3;4;5;6;7;8;14;15;16;17;18,"{""C1"":[4],""O5"":[18],""C2"":[3],""LG_ENTRY"":[5],""LG_CORE"":[6,7,8,14,15,16,17],""RING_CONTEXT"":[3,18],""C2_SUB_ENTRY"":[2]}",4,18,3,5,6;7;8;14;15;16;17,3;18,2,found,4;5;37;28;26;6;27,7,"{""C1"":[4],""O5"":[5],""C2"":[37],""C3"":[28],""C4"":[26],""C5"":[6],""O4"":[27],""O4_EXTERNAL"":[]}",2;3;4;5;6;7;8;26;27;28;29;30;37;38;39;40;41,17,"{""O4"":[27],""C4"":[26],""C3"":[28],""C5"":[6],""C2"":[37],""O5"":[5],""C1"":[4],""N2_SUB_ENTRY"":[38],""N2_SUBGRAPH"":[38,39,40,41],""PG_ENTRY"":[3,7,29],""O4_EXTERNAL"":[]}",4,5,37,28,26,6,27,-1
NEG-00c3ca63b2a53e8d,PAIR-00c3ca63b2a53e8d,SG-00c3ca63b2a53e8d,0,O=C(O[C@H]1C(OC(=Nc2ccccc2)C(F)(F)F)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,trifluoroacetimidate,2;3;4;5;6;7;8;14;15;16;17;18,"{""C1"":[4],""O5"":[18],""C2"":[3],""LG_ENTRY"":[5],""LG_CORE"":[6,7,8,14,15,16,17],""RING_CONTEXT"":[3,18],""C2_SUB_ENTRY"":[2]}",4,18,3,5,6;7;8;14;15;16;17,3;18,2,found,4;5;40;31;26;6;27;28,8,"{""C1"":[4],""O5"":[5],""C2"":[40],""C3"":[31],""C4"":[26],""C5"":[6],""O4"":[27],""O4_EXTERNAL"":[28]}",2;3;4;5;6;7;8;26;27;31;32;33;40;41;42;43;44;28,18,"{""O4"":[27],""C4"":[26],""C3"":[31],""C5"":[6],""C2"":[40],""O5"":[5],""C1"":[4],""N2_SUB_ENTRY"":[41],""N2_SUBGRAPH"":[41,42,43,44],""PG_ENTRY"":[3,7,32],""O4_EXTERNAL"":[28]}",4,5,40,31,26,6,27,28
POS-00cd7255d946cf9e,PAIR-00cd7255d946cf9e,SG-00cd7255d946cf9e,1,CC(=O)OC[C@H]1OC(OC(=N)C(Cl)(Cl)Cl)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O,trichloroacetimidate,6;7;8;9;10;11;12;13;14;15;16,"{""C1"":[7],""O5"":[6],""C2"":[15],""LG_ENTRY"":[8],""LG_CORE"":[9,10,11,12,13,14],""RING_CONTEXT"":[6,15],""C2_SUB_ENTRY"":[16]}",7,6,15,8,9;10;11;12;13;14,6;15,16,found,11;10;18;30;32;9;33,7,"{""C1"":[11],""O5"":[10],""C2"":[18],""C3"":[30],""C4"":[32],""C5"":[9],""O4"":[33],""O4_EXTERNAL"":[]}",7;8;9;10;11;12;13;18;19;20;28;30;31;32;33,15,"{""O4"":[33],""C4"":[32],""C3"":[30],""C5"":[9],""C2"":[18],""O5"":[10],""C1"":[11],""N2_SUB_ENTRY"":[19],""N2_SUBGRAPH"":[19,20,28],""PG_ENTRY"":[8,12,31],""O4_EXTERNAL"":[]}",11,10,18,30,32,9,33,-1
NEG-00cd7255d946cf9e,PAIR-00cd7255d946cf9e,SG-00cd7255d946cf9e,0,CC(=O)OC[C@H]1OC(OC(=N)C(Cl)(Cl)Cl)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](O)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](OCCN=[N+]=[N-])O[C@@H]1CO[Si](C)(C)C(C)(C)C,trichloroacetimidate,6;7;8;9;10;11;12;13;14;15;16,"{""C1"":[7],""O5"":[6],""C2"":[15],""LG_ENTRY"":[8],""LG_CORE"":[9,10,11,12,13,14],""RING_CONTEXT"":[6,15],""C2_SUB_ENTRY"":[16]}",7,6,15,8,9;10;11;12;13;14,6;15,16,found,19;26;7;5;4;27;3;1,8,"{""C1"":[19],""O5"":[26],""C2"":[7],""C3"":[5],""C4"":[4],""C5"":[27],""O4"":[3],""O4_EXTERNAL"":[1]}",29;28;27;26;19;20;21;7;8;9;17;5;6;4;3;1,16,"{""O4"":[3],""C4"":[4],""C3"":[5],""C5"":[27],""C2"":[7],""O5"":[26],""C1"":[19],""N2_SUB_ENTRY"":[8],""N2_SUBGRAPH"":[8,9,17],""PG_ENTRY"":[28,20,6],""O4_EXTERNAL"":[1]}",19,26,7,5,4,27,3,1
POS-0159f49e2019cc12,PAIR-0159f49e2019cc12,SG-0159f49e2019cc12,1,Cc1ccc(S[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,CC(C)(C)[Si](OC[C@H]1O[C@@H](OCCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O)(c1ccccc1)c1ccccc1,thioglycoside,4;5;6;7;30;31,"{""C1"":[6],""O5"":[7],""C2"":[30],""LG_ENTRY"":[5],""LG_CORE"":[4],""RING_CONTEXT"":[7,30],""C2_SUB_ENTRY"":[31]}",6,7,30,5,4,7;30,31,found,9;8;17;29;31;7;32,7,"{""C1"":[9],""O5"":[8],""C2"":[17],""C3"":[29],""C4"":[31],""C5"":[7],""O4"":[32],""O4_EXTERNAL"":[]}",5;6;7;8;9;10;11;17;18;19;27;29;30;31;32,15,"{""O4"":[32],""C4"":[31],""C3"":[29],""C5"":[7],""C2"":[17],""O5"":[8],""C1"":[9],""N2_SUB_ENTRY"":[18],""N2_SUBGRAPH"":[18,19,27],""PG_ENTRY"":[6,10,30],""O4_EXTERNAL"":[]}",9,8,17,29,31,7,32,-1
NEG-0159f49e2019cc12,PAIR-0159f49e2019cc12,SG-0159f49e2019cc12,0,Cc1ccc(S[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,CC(=O)O[C@H]1[C@H](O)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](OCCCN=[N+]=[N-])O[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,thioglycoside,4;5;6;7;30;31,"{""C1"":[6],""O5"":[7],""C2"":[30],""LG_ENTRY"":[5],""LG_CORE"":[4],""RING_CONTEXT"":[7,30],""C2_SUB_ENTRY"":[31]}",6,7,30,5,4,7;30,31,found,19;27;7;5;4;28;3;1,8,"{""C1"":[19],""O5"":[27],""C2"":[7],""C3"":[5],""C4"":[4],""C5"":[28],""O4"":[3],""O4_EXTERNAL"":[1]}",30;29;28;27;19;20;21;7;8;9;17;5;6;4;3;1,16,"{""O4"":[3],""C4"":[4],""C3"":[5],""C5"":[28],""C2"":[7],""O5"":[27],""C1"":[19],""N2_SUB_ENTRY"":[8],""N2_SUBGRAPH"":[8,9,17],""PG_ENTRY"":[29,20,6],""O4_EXTERNAL"":[1]}",19,27,7,5,4,28,3,1
POS-0167cd51c7e26ed5,PAIR-0167cd51c7e26ed5,SG-0167cd51c7e26ed5,1,CC(=O)CCC(=O)O[C@H]1[C@@H](OC(=N)C(Cl)(Cl)Cl)O[C@H](C(=O)OCc2ccccc2)[C@@H](O[C@H]2O[C@H](COC(C)=O)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2N=[N+]=[N-])[C@@H]1OCc1ccccc1,CC(=O)O[C@H]1[C@H](O)[C@H]2CO[C@H](O2)[C@@H]1N=[N+]=[N-],trichloroacetimidate,7;8;9;10;11;12;13;14;15;16;17,"{""C1"":[9],""O5"":[17],""C2"":[8],""LG_ENTRY"":[10],""LG_CORE"":[11,12,13,14,15,16],""RING_CONTEXT"":[8,17],""C2_SUB_ENTRY"":[7]}",9,17,8,10,11;12;13;14;15;16,8;17,7,found,10;11;12;4;5;7;6,7,"{""C1"":[10],""O5"":[11],""C2"":[12],""C3"":[4],""C4"":[5],""C5"":[7],""O4"":[6],""O4_EXTERNAL"":[]}",1;3;4;5;6;7;8;9;10;11;12;13;14;15,14,"{""O4"":[6],""C4"":[5],""C3"":[4],""C5"":[7],""C2"":[12],""O5"":[11],""C1"":[10],""N2_SUB_ENTRY"":[13],""N2_SUBGRAPH"":[13,14,15],""PG_ENTRY"":[3,8,9],""O4_EXTERNAL"":[]}",10,11,12,4,5,7,6,-1
NEG-0167cd51c7e26ed5,PAIR-0167cd51c7e26ed5,SG-0167cd51c7e26ed5,0,CC(=O)CCC(=O)O[C@H]1[C@@H](OC(=N)C(Cl)(Cl)Cl)O[C@H](C(=O)OCc2ccccc2)[C@@H](O[C@H]2O[C@H](COC(C)=O)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2N=[N+]=[N-])[C@@H]1OCc1ccccc1,CC(=O)O[C@@H]1[C@@H](N=[N+]=[N-])[C@@H]2OC[C@@H](O2)[C@H]1OC(C)=O,trichloroacetimidate,7;8;9;10;11;12;13;14;15;16;17,"{""C1"":[9],""O5"":[17],""C2"":[8],""LG_ENTRY"":[10],""LG_CORE"":[11,12,13,14,15,16],""RING_CONTEXT"":[8,17],""C2_SUB_ENTRY"":[7]}",9,17,8,10,11;12;13;14;15;16,8;17,7,found,9;13;5;4;14;12;15;16,8,"{""C1"":[9],""O5"":[13],""C2"":[5],""C3"":[4],""C4"":[14],""C5"":[12],""O4"":[15],""O4_EXTERNAL"":[16]}",1;3;4;14;15;12;11;10;9;13;5;6;7;8;16,15,"{""O4"":[15],""C4"":[14],""C3"":[4],""C5"":[12],""C2"":[5],""O5"":[13],""C1"":[9],""N2_SUB_ENTRY"":[6],""N2_SUBGRAPH"":[6,7,8],""PG_ENTRY"":[3,11,10],""O4_EXTERNAL"":[16]}",9,13,5,4,14,12,15,16
POS-01743178128e5f28,PAIR-01743178128e5f28,SG-01743178128e5f28,1,COC(=O)[C@@]1(O[C@H]2[C@@H](OC(C)=O)[C@@H](COC(=O)c3ccccc3)OC(OC(=N)C(Cl)(Cl)Cl)[C@@H]2OC(=O)c2ccccc2)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,trichloroacetimidate,23;24;25;26;27;28;29;30;31;32;33,"{""C1"":[24],""O5"":[23],""C2"":[32],""LG_ENTRY"":[25],""LG_CORE"":[26,27,28,29,30,31],""RING_CONTEXT"":[23,32],""C2_SUB_ENTRY"":[33]}",24,23,32,25,26;27;28;29;30;31,23;32,33,found,51;52;74;65;63;53;64,7,"{""C1"":[51],""O5"":[52],""C2"":[74],""C3"":[65],""C4"":[63],""C5"":[53],""O4"":[64],""O4_EXTERNAL"":[]}",49;50;51;52;53;54;55;63;64;65;66;67;74;75;76;77;78,17,"{""O4"":[64],""C4"":[63],""C3"":[65],""C5"":[53],""C2"":[74],""O5"":[52],""C1"":[51],""N2_SUB_ENTRY"":[75],""N2_SUBGRAPH"":[75,76,77,78],""PG_ENTRY"":[50,54,66],""O4_EXTERNAL"":[]}",51,52,74,65,63,53,64,-1
NEG-01743178128e5f28,PAIR-01743178128e5f28,SG-01743178128e5f28,0,COC(=O)[C@@]1(O[C@H]2[C@@H](OC(C)=O)[C@@H](COC(=O)c3ccccc3)OC(OC(=N)C(Cl)(Cl)Cl)[C@@H]2OC(=O)c2ccccc2)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](OC(C)=O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,trichloroacetimidate,23;24;25;26;27;28;29;30;31;32;33,"{""C1"":[24],""O5"":[23],""C2"":[32],""LG_ENTRY"":[25],""LG_CORE"":[26,27,28,29,30,31],""RING_CONTEXT"":[23,32],""C2_SUB_ENTRY"":[33]}",24,23,32,25,26;27;28;29;30;31,23;32,33,found,51;52;77;68;63;53;64;65,8,"{""C1"":[51],""O5"":[52],""C2"":[77],""C3"":[68],""C4"":[63],""C5"":[53],""O4"":[64],""O4_EXTERNAL"":[65]}",49;50;51;52;53;54;55;63;64;68;69;70;77;78;79;80;81;65,18,"{""O4"":[64],""C4"":[63],""C3"":[68],""C5"":[53],""C2"":[77],""O5"":[52],""C1"":[51],""N2_SUB_ENTRY"":[78],""N2_SUBGRAPH"":[78,79,80,81],""PG_ENTRY"":[50,54,69],""O4_EXTERNAL"":[65]}",51,52,77,68,63,53,64,65
