Structural_Group_ID,Structural_Group_SHA256,Representative_Parent_ID,Representative_Reaction_ID,All_Parent_IDs,All_Parent_Reaction_IDs,Duplicate_Count,Donor_Canonical_SMILES,Original_Acceptor_Canonical_SMILES,O4_Acetylated_Acceptor_Canonical_SMILES,Donor_Type,Original_Target_C4_Index,Original_Target_O4_Index,Generated_Target_C4_Index,Generated_Target_O4_Index
SG-00c3ca63b2a53e8d,00c3ca63b2a53e8d9384683ea35e5b54215fc0c43d32afec557cd32874bf0902,586,31-010-CAS-19655310,586,31-010-CAS-19655310,1,O=C(O[C@H]1C(OC(=Nc2ccccc2)C(F)(F)F)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,trifluoroacetimidate,26,27,26,27
SG-00cd7255d946cf9e,00cd7255d946cf9ec1c75d8b5fa562b08ce7fbe5dd4fac4c6ebb9593447c206f,271,31-010-CAS-7037988,271,31-010-CAS-7037988,1,CC(=O)OC[C@H]1OC(OC(=N)C(Cl)(Cl)Cl)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O,CC(=O)O[C@H]1[C@H](O)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](OCCN=[N+]=[N-])O[C@@H]1CO[Si](C)(C)C(C)(C)C,trichloroacetimidate,32,33,4,3
SG-0159f49e2019cc12,0159f49e2019cc12e1587b69e1fbc85cd17ad3681d86db5f0adb9471ee2311ba,1293,31-614-CAS-34956360,1293,31-614-CAS-34956360,1,Cc1ccc(S[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,CC(C)(C)[Si](OC[C@H]1O[C@@H](OCCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O)(c1ccccc1)c1ccccc1,CC(=O)O[C@H]1[C@H](O)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](OCCCN=[N+]=[N-])O[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,thioglycoside,31,32,4,3
SG-0167cd51c7e26ed5,0167cd51c7e26ed55febbc717654462501ae2d6f56ed167dcfc24b53e78b913f,469,31-010-CAS-10298862,469,31-010-CAS-10298862,1,CC(=O)CCC(=O)O[C@H]1[C@@H](OC(=N)C(Cl)(Cl)Cl)O[C@H](C(=O)OCc2ccccc2)[C@@H](O[C@H]2O[C@H](COC(C)=O)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2N=[N+]=[N-])[C@@H]1OCc1ccccc1,CC(=O)O[C@H]1[C@H](O)[C@H]2CO[C@H](O2)[C@@H]1N=[N+]=[N-],CC(=O)O[C@@H]1[C@@H](N=[N+]=[N-])[C@@H]2OC[C@@H](O2)[C@H]1OC(C)=O,trichloroacetimidate,5,6,14,15
SG-01743178128e5f28,01743178128e5f2805a0008793af3ae56e205ed029c81ee66cd0f5c6063a3f9c,449,31-010-CAS-16614014,449,31-010-CAS-16614014,1,COC(=O)[C@@]1(O[C@H]2[C@@H](OC(C)=O)[C@@H](COC(=O)c3ccccc3)OC(OC(=N)C(Cl)(Cl)Cl)[C@@H]2OC(=O)c2ccccc2)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](OC(C)=O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,trichloroacetimidate,63,64,63,64
SG-0185dd7456de289a,0185dd7456de289a79f951cd71a22e5b0a36deeb32041dbff2adc1cf00d70124,860,31-013-CAS-8306668,860,31-013-CAS-8306668,1,C[C@@H]1O[C@@H](Sc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](O[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,CC(=O)N[C@H]1[C@H](OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1OC(C)=O,CC(=O)N[C@H]1[C@H](OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,thioglycoside,25,26,25,26
SG-0189acadb078d3e2,0189acadb078d3e2fda66064facdfe460243fce8791f8cb64d169c6f23ac5d95,1489,31-013-CAS-12313595,1489,31-013-CAS-12313595,1,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O[C@@H]3O[C@H](COCc4ccccc4)[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](OCc4ccccc4)[C@H]3N3C(=O)c4ccccc4C3=O)[C@H](O)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O[C@@H]3O[C@H](COCc4ccccc4)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3N3C(=O)c4ccccc4C3=O)[C@H](OC(=O)CCl)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](O[C@H]2[C@H](OC(=O)CCl)[C@@H](N3C(=O)c4ccccc4C3=O)[C@H](Sc3ccc(C)cc3)O[C@@H]2COCc2ccccc2)O[C@@H]1COCc1ccccc1,thioglycoside,32,33,4,3
SG-01c942701ec92327,01c942701ec92327c59d3597b2c87804507b4ffa75def8d2ec2250993853c005,442,31-010-CAS-3951292,442,31-010-CAS-3951292,1,CC(=O)CCC(=O)OC[C@@H]1OC(OC(=N)C(Cl)(Cl)Cl)[C@H](OC(=O)c2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](OCc2ccc3ccccc3c2)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],CO[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O[C@@H]2O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]3O[C@H](COC(=O)c4ccccc4)[C@@H](O[C@@H]4O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]5O[C@H](COC(=O)c6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5N=[N+]=[N-])[C@H](OCc5ccccc5)[C@H]4OC(=O)c4ccccc4)[C@H](OCc4ccccc4)[C@H]3N=[N+]=[N-])[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],CO[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O[C@@H]2O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]3O[C@H](COC(=O)c4ccccc4)[C@@H](O[C@@H]4O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]5O[C@H](COC(=O)c6ccccc6)[C@@H](OC(C)=O)[C@H](OCc6ccccc6)[C@H]5N=[N+]=[N-])[C@H](OCc5ccccc5)[C@H]4OC(=O)c4ccccc4)[C@H](OCc4ccccc4)[C@H]3N=[N+]=[N-])[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],trichloroacetimidate,73,74,73,74
SG-02268520dbaebf70,02268520dbaebf70dd1a3d6b97cc4d10197a3886fa3536c5897701a52306fcb1,1232,31-013-CAS-18353674,1232,31-013-CAS-18353674,1,Cc1ccc(S[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](O)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,CC(=O)O[C@H]1[C@H](O)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](Sc2ccc(C)cc2)O[C@@H]1COCc1ccccc1,thioglycoside,18,19,4,3
SG-0230682ae8818933,0230682ae8818933f835a9b33192b6b413175515e29b28280b4f8d0d9208814b,502,31-010-CAS-16631938,502,31-010-CAS-16631938,1,C[C@@H]1O[C@@H](OC(=N)C(Cl)(Cl)Cl)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1O[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OC(C)=O)[C@H]1N1C(=O)c2ccccc2C1=O,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1N1C(=O)c2ccccc2C1=O,trichloroacetimidate,15,16,15,16
