Sample_ID,Pair_ID,Structural_Group_ID,Structural_Group_SHA256,Input_Structure_SHA256,Representative_Parent_ID,Representative_Reaction_ID,All_Parent_IDs,All_Parent_Reaction_IDs,Duplicate_Count,Variant,hard_feasibility,Donor_Canonical_SMILES,Acceptor_Canonical_SMILES,Original_Acceptor_Canonical_SMILES,Donor_Type,Target_C4_Index,Target_O4_Index
POS-00c3ca63b2a53e8d,PAIR-00c3ca63b2a53e8d,SG-00c3ca63b2a53e8d,00c3ca63b2a53e8d9384683ea35e5b54215fc0c43d32afec557cd32874bf0902,00c3ca63b2a53e8d9384683ea35e5b54215fc0c43d32afec557cd32874bf0902,586,31-010-CAS-19655310,586,31-010-CAS-19655310,1,original,1,O=C(O[C@H]1C(OC(=Nc2ccccc2)C(F)(F)F)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,trifluoroacetimidate,26,27
NEG-00c3ca63b2a53e8d,PAIR-00c3ca63b2a53e8d,SG-00c3ca63b2a53e8d,00c3ca63b2a53e8d9384683ea35e5b54215fc0c43d32afec557cd32874bf0902,db4dc026f945e28e13c9f78eec86e1f7ef6f49e3526757f69f3b04beedf7bf1c,586,31-010-CAS-19655310,586,31-010-CAS-19655310,1,o4_acetylated,0,O=C(O[C@H]1C(OC(=Nc2ccccc2)C(F)(F)F)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,trifluoroacetimidate,26,27
POS-00cd7255d946cf9e,PAIR-00cd7255d946cf9e,SG-00cd7255d946cf9e,00cd7255d946cf9ec1c75d8b5fa562b08ce7fbe5dd4fac4c6ebb9593447c206f,00cd7255d946cf9ec1c75d8b5fa562b08ce7fbe5dd4fac4c6ebb9593447c206f,271,31-010-CAS-7037988,271,31-010-CAS-7037988,1,original,1,CC(=O)OC[C@H]1OC(OC(=N)C(Cl)(Cl)Cl)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O,trichloroacetimidate,32,33
NEG-00cd7255d946cf9e,PAIR-00cd7255d946cf9e,SG-00cd7255d946cf9e,00cd7255d946cf9ec1c75d8b5fa562b08ce7fbe5dd4fac4c6ebb9593447c206f,455568dacdd64573bb5d3c64c8cf0025006eece0db71a55bbd1797e826c5eaab,271,31-010-CAS-7037988,271,31-010-CAS-7037988,1,o4_acetylated,0,CC(=O)OC[C@H]1OC(OC(=N)C(Cl)(Cl)Cl)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](O)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](OCCN=[N+]=[N-])O[C@@H]1CO[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O,trichloroacetimidate,4,3
POS-0159f49e2019cc12,PAIR-0159f49e2019cc12,SG-0159f49e2019cc12,0159f49e2019cc12e1587b69e1fbc85cd17ad3681d86db5f0adb9471ee2311ba,0159f49e2019cc12e1587b69e1fbc85cd17ad3681d86db5f0adb9471ee2311ba,1293,31-614-CAS-34956360,1293,31-614-CAS-34956360,1,original,1,Cc1ccc(S[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,CC(C)(C)[Si](OC[C@H]1O[C@@H](OCCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O)(c1ccccc1)c1ccccc1,CC(C)(C)[Si](OC[C@H]1O[C@@H](OCCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O)(c1ccccc1)c1ccccc1,thioglycoside,31,32
NEG-0159f49e2019cc12,PAIR-0159f49e2019cc12,SG-0159f49e2019cc12,0159f49e2019cc12e1587b69e1fbc85cd17ad3681d86db5f0adb9471ee2311ba,2ce52d3a5a734ea5c5ee71a69e73c5ee247ea95af3e3940d0c874e98a82cccb9,1293,31-614-CAS-34956360,1293,31-614-CAS-34956360,1,o4_acetylated,0,Cc1ccc(S[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,CC(=O)O[C@H]1[C@H](O)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](OCCCN=[N+]=[N-])O[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,CC(C)(C)[Si](OC[C@H]1O[C@@H](OCCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O)(c1ccccc1)c1ccccc1,thioglycoside,4,3
POS-0167cd51c7e26ed5,PAIR-0167cd51c7e26ed5,SG-0167cd51c7e26ed5,0167cd51c7e26ed55febbc717654462501ae2d6f56ed167dcfc24b53e78b913f,0167cd51c7e26ed55febbc717654462501ae2d6f56ed167dcfc24b53e78b913f,469,31-010-CAS-10298862,469,31-010-CAS-10298862,1,original,1,CC(=O)CCC(=O)O[C@H]1[C@@H](OC(=N)C(Cl)(Cl)Cl)O[C@H](C(=O)OCc2ccccc2)[C@@H](O[C@H]2O[C@H](COC(C)=O)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2N=[N+]=[N-])[C@@H]1OCc1ccccc1,CC(=O)O[C@H]1[C@H](O)[C@H]2CO[C@H](O2)[C@@H]1N=[N+]=[N-],CC(=O)O[C@H]1[C@H](O)[C@H]2CO[C@H](O2)[C@@H]1N=[N+]=[N-],trichloroacetimidate,5,6
NEG-0167cd51c7e26ed5,PAIR-0167cd51c7e26ed5,SG-0167cd51c7e26ed5,0167cd51c7e26ed55febbc717654462501ae2d6f56ed167dcfc24b53e78b913f,1c64fb8f5be33534c9ab7c735f3ccd3dfe135199777011df30342e2e3aeaa5f1,469,31-010-CAS-10298862,469,31-010-CAS-10298862,1,o4_acetylated,0,CC(=O)CCC(=O)O[C@H]1[C@@H](OC(=N)C(Cl)(Cl)Cl)O[C@H](C(=O)OCc2ccccc2)[C@@H](O[C@H]2O[C@H](COC(C)=O)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2N=[N+]=[N-])[C@@H]1OCc1ccccc1,CC(=O)O[C@@H]1[C@@H](N=[N+]=[N-])[C@@H]2OC[C@@H](O2)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](O)[C@H]2CO[C@H](O2)[C@@H]1N=[N+]=[N-],trichloroacetimidate,14,15
POS-01743178128e5f28,PAIR-01743178128e5f28,SG-01743178128e5f28,01743178128e5f2805a0008793af3ae56e205ed029c81ee66cd0f5c6063a3f9c,01743178128e5f2805a0008793af3ae56e205ed029c81ee66cd0f5c6063a3f9c,449,31-010-CAS-16614014,449,31-010-CAS-16614014,1,original,1,COC(=O)[C@@]1(O[C@H]2[C@@H](OC(C)=O)[C@@H](COC(=O)c3ccccc3)OC(OC(=N)C(Cl)(Cl)Cl)[C@@H]2OC(=O)c2ccccc2)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,trichloroacetimidate,63,64
NEG-01743178128e5f28,PAIR-01743178128e5f28,SG-01743178128e5f28,01743178128e5f2805a0008793af3ae56e205ed029c81ee66cd0f5c6063a3f9c,d5f3c4839b2a3c6b8f0a2e5585f38b269bad09f38aeaac93b40afaf0f1d6ddd0,449,31-010-CAS-16614014,449,31-010-CAS-16614014,1,o4_acetylated,0,COC(=O)[C@@]1(O[C@H]2[C@@H](OC(C)=O)[C@@H](COC(=O)c3ccccc3)OC(OC(=N)C(Cl)(Cl)Cl)[C@@H]2OC(=O)c2ccccc2)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](OC(C)=O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,trichloroacetimidate,63,64
