Task_ID,Task_Class,Task_Label,Source_Sheet,Source_Row,Source_Reference,Source_Reaction_ID,Donor_Canonical_SMILES,Acceptor_Canonical_SMILES,Target_Config,Task_Mode,Original_Solvent,Original_Catalyst,Original_Temp_C,Original_Time_min,Original_Product_Config
C1_T01,1,任务1,第一类预测任务,4,"Synthesis (2024), 56(3), 487-495",31-614-CAS-44833731,O(CC1=CC=CC=C1)[C@H]2[C@H](OCC3=CC=CC=C3)[C@@H](SCC)O[C@@H](C)[C@H]2OCC4=CC=CC=C4,O=C1N(C(=O)C=2C1=CC=CC2)[C@H]3[C@H](SCC)O[C@H](COCC4=CC=CC=C4)[C@@H](O)[C@@H]3O,Alpha,standard,Dichloromethane,N-Iodosuccinimide,25,30,Alpha
C1_T02,1,任务2,第一类预测任务,16,"Beilstein Journal of Organic Chemistry (2014), 10, 293-299, 7 pp.",31-013-CAS-16017995,O(CC1=CC=CC=C1)[C@H]2[C@H](OCC3=CC=CC=C3)[C@@H](SCC)O[C@@H](C)[C@H]2OCC4=CC=CC=C4,O(C(C)=O)[C@@H]1[C@H]([C@H](SCC)O[C@H](COCC2=CC=CC=C2)[C@H]1O)N3C(=O)C=4C(C3=O)=CC=CC4,Alpha,standard,"Dichloromethane,Diethyl ether",Trifluoromethanesulfonic acid,25,30,Alpha
C1_T03,1,任务3,第一类预测任务,28,"United States, US20120142560 A1 2012-06-07",31-013-CAS-6495154,O(CC1=CC=CC=C1)[C@H]2[C@]3([C@](O[C@@H](SCC)[C@@H]2OC(C)=O)(CO[C@H](O3)C4=CC=CC=C4)[H])[H],O([Si](C(C(C)C)(C)C)(C)C)[C@H]1[C@H](N=[N+]=[N-])[C@@H](OCC2=CC=CC=C2)[C@H](O)[C@@H](COC(C)=O)O1,Beta,standard,Dichloromethane,N-Iodosuccinimide,25,30,Beta
C1_T04,1,任务4,第一类预测任务,44,"Chemistry - A European Journal (2018), 24(31), 7970-7975",31-010-CAS-19309609,O(C(C)=O)[C@@H]1[C@@H](OC(C)=O)[C@@H](OC(C(Cl)(Cl)Cl)=N)O[C@H](COC(C)=O)[C@@H]1OC(C)=O,O([Si](C(C(C)C)(C)C)(C)C)[C@H]1[C@H](N=[N+]=[N-])[C@@H](OCC2=CC=CC=C2)[C@H](O)[C@@H](COCC3=CC=CC=C3)O1,Beta,standard,Dichloromethane,Trifluoromethanesulfonic acid,-40,20,Beta
C1_T05,1,任务5,第一类预测任务,57,"Chemistry - An Asian Journal (2019), 14(1), 223-234",31-010-CAS-19796376,O(C(C)=O)[C@@H]1[C@@H](OC(C)=O)[C@@H](OC(C(Cl)(Cl)Cl)=N)O[C@H](COC(C)=O)[C@@H]1OC(C)=O,[Si](OC[C@H]1O[C@@H](OCC=C)[C@@H]([C@@H](O)[C@@H]1O)N2C(=O)C=3C(C2=O)=CC=CC3)(C(C)(C)C)(C4=CC=CC=C4)C5=CC=CC=C5,Beta,standard,Dichloromethane,Trimethylsilyl triflate,-20,120,Beta
C1_T06,1,任务6,第一类预测任务,72,"Organic Letters (2010), 12(7), 1624-1627",31-010-CAS-539862,N(=[N+]=[N-])[C@@H]1[C@@H](OC(C)=O)[C@@H](NC(OCC2=CC=CC=C2)=O)[C@@H](C)OC1OC(=NC3=CC=CC=C3)C(F)(F)F,O([Si](C(C)(C)C)(C)C)[C@H]1[C@H](N=[N+]=[N-])[C@@H](OC(CCC(C)=O)=O)[C@@H](O)[C@@H](COCC2=CC=CC=C2)O1,Alpha,standard,Dichloromethane,Pyridine,,0,
C1_T07,1,任务7,第一类预测任务,87,"Tetrahedron Letters (1988), 29(9), 1061-4",31-013-CAS-9796530,O(C(C)=O)[C@@H]1[C@H]([C@H](SC)O[C@H](COC(C)=O)[C@H]1OC(C)=O)N2C(=O)C=3C(C2=O)=CC=CC3,O(CC1=CC=CC=C1)[C@@H]2[C@H]([C@H](OCC3=CC=CC=C3)O[C@H](COCC4=CC=CC=C4)[C@H]2O)N5C(=O)C=6C(C5=O)=CC=CC6,Beta,standard,Toluene,,127,127,Beta
C1_T08,1,任务7,第一类预测任务,103,"Canada, CA2806561 C 2015-12-22",31-010-CAS-21359684,O([C@H]1[C@H](OCC2=CC=CC=C2)[C@@H](OC(=O)C3=CC=CC=C3)C(OC(C(Cl)(Cl)Cl)=N)O[C@@H]1C(OC)=O)[C@@H]4[C@H](N=[N+]=[N-])[C@@H](OCC5=CC=CC=C5)[C@H](OCC6=CC=CC=C6)[C@@H](COC(=O)C7=CC=CC=C7)O4,[Si](O[C@H]1[C@H](N=[N+]=[N-])[C@@H](OC(=O)C2=CC=CC=C2)[C@H](O)[C@@H](COC3=CC=C(OC)C=C3)O1)(C(C)(C)C)(C4=CC=CC=C4)C5=CC=CC=C5,Beta,standard,Dichloromethane,Triethylamine,0,,Beta
C2_T01,2,任务1,第二类预测任务,4,"Synthesis (2024), 56(3), 487-495",31-614-CAS-44833731,O(CC1=CC=CC=C1)[C@H]2[C@H](OCC3=CC=CC=C3)[C@@H](SCC)O[C@@H](C)[C@H]2OCC4=CC=CC=C4,O=C1N(C(=O)C=2C1=CC=CC2)[C@H]3[C@H](SCC)O[C@H](COCC4=CC=CC=C4)[C@@H](O)[C@@H]3O,Beta,standard,Dichloromethane,N-Iodosuccinimide,25,30,Alpha
C2_T02,2,任务2,第二类预测任务,16,"Beilstein Journal of Organic Chemistry (2014), 10, 293-299, 7 pp.",31-013-CAS-16017995,O(CC1=CC=CC=C1)[C@H]2[C@H](OCC3=CC=CC=C3)[C@@H](SCC)O[C@@H](C)[C@H]2OCC4=CC=CC=C4,O(C(C)=O)[C@@H]1[C@H]([C@H](SCC)O[C@H](COCC2=CC=CC=C2)[C@H]1O)N3C(=O)C=4C(C3=O)=CC=CC4,Beta,standard,"Dichloromethane,Diethyl ether",Trifluoromethanesulfonic acid,25,30,Alpha
