model_name,feature_set,split_name,accuracy,balanced_accuracy,macro_f1,auroc,auprc,threshold,tn,fp,fn,tp,n_train,n_val,n_test
logistic_regression,structure_condition,split_random_stratified,0.851063829787234,0.8629769788710187,0.8445796564690766,0.929083885209713,0.9584157694913923,0.575,76,8,27,124,1092,234,235
random_forest,structure_condition,split_random_stratified,0.8468085106382979,0.8464601072216966,0.8372325688779436,0.9253784295175023,0.9593331801125978,0.5149999999999999,71,13,23,128,1092,234,235
xgboost,structure_condition,split_random_stratified,0.8468085106382979,0.8570245979186377,0.839845524761472,0.9346026490066226,0.9620058501712734,0.49499999999999994,75,9,27,124,1092,234,235
logistic_regression,structure_only,split_random_stratified,0.8425531914893617,0.8589955849889624,0.8368331175289458,0.9268369599495427,0.95606814945226,0.69,77,7,30,121,1092,234,235
random_forest,structure_only,split_random_stratified,0.8425531914893617,0.8484310942920215,0.8344471735115477,0.9266004415011038,0.9596204195108996,0.575,73,11,26,125,1092,234,235
xgboost,structure_only,split_random_stratified,0.8425531914893617,0.8563544623147272,0.8362801031840177,0.9291233049511195,0.959850657305802,0.5299999999999999,76,8,29,122,1092,234,235
logistic_regression,condition_only,split_random_stratified,0.6680851063829787,0.6387180700094608,0.6387180700094608,0.695758435824661,0.8026239106507846,0.4549999999999999,45,39,39,112,1092,234,235
random_forest,condition_only,split_random_stratified,0.7021276595744681,0.6863371176285084,0.6820887445887446,0.750078839482813,0.8502955493786892,0.48499999999999993,53,31,39,112,1092,234,235
xgboost,condition_only,split_random_stratified,0.6510638297872341,0.6677309996846421,0.6448842694972725,0.7370309050772628,0.824485364697034,0.5299999999999999,61,23,59,92,1092,234,235
logistic_regression,structure_condition,split_pair_group,0.9033613445378151,0.9021420187793427,0.9001003741217264,0.9638350938967136,0.9769205884114919,0.615,86,10,13,129,1084,239,238
random_forest,structure_condition,split_pair_group,0.8697478991596639,0.863849765258216,0.8644622026269864,0.9479900234741784,0.9690674135554677,0.43999999999999995,80,16,15,127,1084,239,238
xgboost,structure_condition,split_pair_group,0.865546218487395,0.8721390845070423,0.8630708378281193,0.9575264084507042,0.9734511316713501,0.565,87,9,23,119,1084,239,238
logistic_regression,structure_only,split_pair_group,0.8907563025210085,0.8882042253521127,0.8868903999415076,0.9641651995305164,0.9767273294431866,0.61,84,12,14,128,1084,239,238
random_forest,structure_only,split_pair_group,0.8613445378151261,0.8568075117370892,0.8562038850949303,0.9508142605633803,0.9703903401504815,0.4599999999999999,80,16,17,125,1084,239,238
xgboost,structure_only,split_pair_group,0.8697478991596639,0.8773474178403755,0.8674999551029937,0.9576364436619718,0.9731092459152598,0.6,88,8,23,119,1084,239,238
logistic_regression,condition_only,split_pair_group,0.6974789915966386,0.6840522300469484,0.6846521899153478,0.7498166079812206,0.8190267160187317,0.4699999999999999,59,37,35,107,1084,239,238
random_forest,condition_only,split_pair_group,0.7352941176470589,0.7359888497652582,0.7301053010530105,0.8348371478873239,0.8760767657880144,0.5149999999999999,71,25,38,104,1084,239,238
xgboost,condition_only,split_pair_group,0.680672268907563,0.696963028169014,0.6798584070796461,0.8021933685446009,0.8492949860943957,0.5399999999999999,75,21,55,87,1084,239,238
logistic_regression,structure_condition,split_year,0.7829181494661922,0.810287081339713,0.7823779597536977,0.9007974481658692,0.9286899004164065,0.835,103,7,54,117,1088,192,281
random_forest,structure_condition,split_year,0.8576512455516014,0.848989898989899,0.850117345850224,0.9221158958001063,0.945910702766587,0.5249999999999999,89,21,19,152,1088,192,281
xgboost,structure_condition,split_year,0.8362989323843416,0.8460393407761828,0.8330836776859504,0.9178628389154705,0.9483988751921302,0.63,98,12,34,137,1088,192,281
logistic_regression,structure_only,split_year,0.800711743772242,0.807070707070707,0.7963768115942029,0.8919989367357788,0.922539991933941,0.6649999999999999,92,18,38,133,1088,192,281
random_forest,structure_only,split_year,0.7758007117437722,0.7979532163742691,0.7746591820368884,0.9238968633705475,0.9457458282384684,0.6599999999999999,99,11,52,119,1088,192,281
xgboost,structure_only,split_year,0.8220640569395018,0.8116427432216906,0.81264668231278,0.9116693248272195,0.945855188511554,0.5549999999999999,84,26,24,147,1088,192,281
logistic_regression,condition_only,split_year,0.5373665480427047,0.5485380116959064,0.5352417302798982,0.603136629452419,0.7133566180904805,0.48499999999999993,66,44,86,85,1088,192,281
random_forest,condition_only,split_year,0.6476868327402135,0.6456671982987772,0.6396362552948949,0.6682083997873471,0.7576832718407909,0.4699999999999999,70,40,59,112,1088,192,281
xgboost,condition_only,split_year,0.6405693950177936,0.5895534290271133,0.5860233090712837,0.6283625730994152,0.7378367478166652,0.39499999999999996,39,71,30,141,1088,192,281
