model_name,feature_set,split_name,accuracy,balanced_accuracy,macro_f1,auroc,auprc,threshold,tn,fp,fn,tp,n_train,n_val,n_test
logistic_regression,structure_condition,split_pair_group,0.9033613445378151,0.9021420187793427,0.9001003741217264,0.9639084507042254,0.9769565023429744,0.615,86,10,13,129,1084,239,238
random_forest,structure_condition,split_pair_group,0.865546218487395,0.8603286384976526,0.8603286384976526,0.9483568075117371,0.9691684473576452,0.4649999999999999,80,16,16,126,1084,239,238
xgboost,structure_condition,split_pair_group,0.8613445378151261,0.8686179577464789,0.8589515651096384,0.9599471830985915,0.9744024316774823,0.615,87,9,24,118,1084,239,238
logistic_regression,condition_only,split_pair_group,0.6932773109243697,0.682218309859155,0.6819055639978762,0.744681631455399,0.8086871769100072,0.48499999999999993,60,36,37,105,1084,239,238
random_forest,condition_only,split_pair_group,0.7436974789915967,0.7278462441314555,0.7303241385715613,0.8210460680751174,0.8734775371007517,0.48999999999999994,62,34,27,115,1084,239,238
xgboost,condition_only,split_pair_group,0.6890756302521008,0.697256455399061,0.6863960113960115,0.7986355633802816,0.84566115014734,0.5149999999999999,71,25,49,93,1084,239,238
logistic_regression,structure_condition,split_year,0.7829181494661922,0.810287081339713,0.7823779597536977,0.9008506113769272,0.9287700119971591,0.835,103,7,54,117,1088,192,281
random_forest,structure_condition,split_year,0.7864768683274022,0.8083466241360978,0.7852776362710138,0.9233386496544391,0.9463667588385472,0.6499999999999999,100,10,50,121,1088,192,281
xgboost,structure_condition,split_year,0.8291814946619217,0.8353269537480064,0.8250855897914722,0.9180489101541732,0.9481743862362202,0.63,95,15,33,138,1088,192,281
logistic_regression,condition_only,split_year,0.4804270462633452,0.535805422647528,0.4702221074380165,0.5952684742158427,0.7120004280443796,0.57,87,23,123,48,1088,192,281
random_forest,condition_only,split_year,0.6227758007117438,0.6268208399787347,0.6175005136634477,0.6414141414141413,0.7417376077204918,0.4699999999999999,71,39,67,104,1088,192,281
xgboost,condition_only,split_year,0.6192170818505338,0.5866028708133971,0.5874281323325603,0.6400584795321638,0.7415422441339166,0.43499999999999994,48,62,45,126,1088,192,281
logistic_regression,structure_condition,split_random_stratified,0.851063829787234,0.8629769788710187,0.8445796564690766,0.929083885209713,0.9584157694913923,0.575,76,8,27,124,1092,234,235
random_forest,structure_condition,split_random_stratified,0.8340425531914893,0.8312440870387889,0.8232776074506856,0.9256149479659415,0.9597376081874336,0.5199999999999999,69,15,24,127,1092,234,235
xgboost,structure_condition,split_random_stratified,0.825531914893617,0.8457505518763797,0.8203263403263403,0.9320797855566068,0.9600173996300649,0.6549999999999999,77,7,34,117,1092,234,235
logistic_regression,condition_only,split_random_stratified,0.6680851063829787,0.6202302112898139,0.6233355252342594,0.6869284137496058,0.7965272592782463,0.44499999999999995,38,46,32,119,1092,234,235
random_forest,condition_only,split_random_stratified,0.676595744680851,0.6585461999369284,0.654839208410637,0.7384105960264902,0.8434549766732677,0.4749999999999999,50,34,42,109,1092,234,235
xgboost,condition_only,split_random_stratified,0.6723404255319149,0.6657994323557237,0.6568041725936463,0.729107537054557,0.8203086542776674,0.48999999999999994,54,30,47,104,1092,234,235
