id,reaction_id,label,Donor_Type,Year,Pair_Key,seed0_prob_beta,seed0_prediction,seed1_prob_beta,seed1_prediction,seed2_prob_beta,seed2_prediction,mean_beta_score,beta_vote_count,ensemble_prediction,seed_disagreement,correct
114,31-010-CAS-6728808,0,trichloroacetimidate,2014,08D10A6E,0.9574671387672424,1,0.9508237242698668,1,0.9755523800849916,1,0.9612810810407003,3,1,False,False
317,31-010-CAS-17830886,1,trichloroacetimidate,2017,4B9B8199,0.7122846841812134,0,0.6730736494064331,0,0.8074972629547119,1,0.7309518655141195,1,0,True,False
384,31-010-CAS-5898048,1,trichloroacetimidate,2011,2D854319,0.1643821746110916,0,0.8644636273384094,1,0.0114813083782792,0,0.3467757034425934,1,0,True,False
441,31-010-CAS-8693853,1,trichloroacetimidate,2011,6F93B8F2,0.2237171977758407,0,0.0096834963187575,0,0.0823890641331672,0,0.10526325274258846,0,0,False,False
688,31-013-CAS-308870,0,thioglycoside,2005,094C5AFE,0.9637995958328248,1,0.9648392796516418,1,0.9785376787185668,1,0.9690588514010111,3,1,False,False
807,31-013-CAS-1407934,0,thioglycoside,2013,6D8F7045,0.905173122882843,1,0.9619032144546508,1,0.9158726930618286,1,0.9276496767997742,3,1,False,False
841,31-013-CAS-12570626,1,thioglycoside,2007,54D23B07,0.1450769752264022,0,0.0634268894791603,0,0.1227905377745628,0,0.11043146749337508,0,0,False,False
842,31-013-CAS-3447636,1,thioglycoside,2007,54D23B07,0.1932191103696823,0,0.3378417491912842,0,0.816543698310852,1,0.4492015192906062,1,0,True,False
843,31-013-CAS-1313681,1,thioglycoside,2007,54D23B07,0.1504620760679245,0,0.407901257276535,0,0.6286571025848389,1,0.3956734786430995,1,0,True,False
885,31-013-CAS-3991023,1,thioglycoside,2010,D1BFDAF8,0.5278021097183228,0,0.2642022967338562,0,0.15984608232975,0,0.317283496260643,0,0,False,False
944,31-614-CAS-34709650,0,thioglycoside,2022,6E6F4A60,0.7437737584114075,0,0.8729498386383057,1,0.924934446811676,1,0.8472193479537964,2,1,True,False
1187,31-013-CAS-14640673,0,thioglycoside,2008,CAEC5942,0.9806710481643676,1,0.9811328053474426,1,0.9853020906448364,1,0.9823686480522156,3,1,False,False
1280,31-614-CAS-34954204,0,thioglycoside,2021,F158EC5F,0.952576756477356,1,0.8084405660629272,0,0.8109750747680664,1,0.8573307991027832,2,1,True,False
1331,31-614-CAS-39834134,0,thioglycoside,2023,CAA7992E,0.6380550265312195,0,0.9833539724349976,1,0.9272905588150024,1,0.8495665192604065,2,1,True,False
1526,31-013-CAS-11179214,1,thioglycoside,2013,BDF2A6AC,0.0475198626518249,0,0.3266455233097076,0,0.8104915618896484,1,0.394885649283727,1,0,True,False
