Task_ID,Task_Class,Task_Label,Source_Sheet,Source_Row,Source_Reference,Source_Reaction_ID,Donor_Canonical_SMILES,Acceptor_Canonical_SMILES,Target_Config,Task_Mode,Original_Solvent,Original_Catalyst,Original_Temp_C,Original_Time_min,Original_Product_Config,Candidate_ID,Donor_Type,Target_O4_Index,Template_ID,Solvent,Solvent_Component_IDs,Catalyst,Catalyst_Component_IDs,Temp_C,Time_min,has_solvent,has_catalyst,has_temp,has_time,Template_Support_Count,Template_Alpha_Success_Count,Template_Beta_Success_Count,Template_Representative_Reaction_ID,Template_Supporting_Reaction_IDs,Condition_Recipe_Completeness,Original_Condition_Complete,Matches_Original_Condition,Final_Status,Final_Error,Final_Interpretation,Input_Status,Donor_RFU_Status,Acceptor_O4_Status,Warnings,Canonical_Donor_SMILES,Canonical_Acceptor_SMILES,Resolved_Donor_Type,Target_O4_Source,Target_O4_Index_Canonical,Target_O4_State,Target_O4_Candidate_Count,Target_O4_Free_Candidate_Count,Target_O4_Blocked_Candidate_Count,Layer1_Mean_Feasibility_Score,Layer1_Seed_Disagreement,Layer1_Seed_Votes,Layer1_Decision,Soft_Compatibility_Score,Soft_TopK_Mean_Score,Soft_Support_Percentile,Soft_Domain_Q05,Soft_Domain_Q10,Soft_Domain_Status,Nearest_Success_Reaction_ID,Nearest_Success_Similarity,Soft_Score_Interpretation,Stereoselectivity_Label,Stereoselectivity_Mean_Beta_Score,Stereoselectivity_Seed_Disagreement,Stereoselectivity_Vote_Count,Stereoselectivity_Skip_Reason,Pipeline_Version,Inference_UTC,Layer1_Seed0_Feasibility_Score,Layer1_Seed0_Vote,Layer1_Seed1_Feasibility_Score,Layer1_Seed1_Vote,Layer1_Seed2_Feasibility_Score,Layer1_Seed2_Vote,Layer3_Seed0_Beta_Score,Layer3_Seed0_Threshold,Layer3_Seed0_Vote,Layer3_Seed1_Beta_Score,Layer3_Seed1_Threshold,Layer3_Seed1_Vote,Layer3_Seed2_Beta_Score,Layer3_Seed2_Threshold,Layer3_Seed2_Vote,Target_Vote_Count,Ensemble_Size,Target_Stereo_Score,Recommendation_Tier,Recommendation_Level,Tier_Order,Domain_Order,Temp_Bin_20C,Diversity_Key,Overall_Target_Rank,Recommendation_Rank,Recommendation_Reason,Score_Interpretation,Wet_Lab_Use_Requirement
C1_T01,1,任务1,第一类预测任务,4,"Synthesis (2024), 56(3), 487-495",31-614-CAS-44833731,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,Alpha,standard,Dichloromethane,N-Iodosuccinimide,25.0,30.0,Alpha,C1_T01::CT_37d30883235458ef,thioglycoside,,CT_37d30883235458ef,Dichloromethane,3,N-Iodosuccinimide,5,25.0,25.0,1,1,1,1,1,1,0,31-013-CAS-20839029,31-013-CAS-20839029,skeleton_only; equivalents/concentration/addition_order/atmosphere not available,True,False,predicted,,已通过硬结构过滤；第二层为文献支持度，第三层为多数投票立体选择性。,parsed,ok,ok,,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,thioglycoside,auto_unique_free,16.0,free,1.0,1.0,0.0,0.9877754052480062,False,"[1,1,1]",feasible,0.9996406435966492,0.8728572726249695,89.95271867612293,0.7605817914009094,0.8008449077606201,in_domain,31-614-CAS-44833731,0.999641,"relative similarity to literature successful reactions; this is an applicability-domain and literature-support score, not a reaction probability",Alpha,0.0069192621546487,False,3/3,,1.3.1,2026-08-04T11:19:28.283572+00:00,0.9880052208900452,feasible,0.987659513950348,feasible,0.9876614809036256,feasible,0.0065565365366637,0.8049999999999999,Alpha,0.0050371056422591,0.8599999999999999,Alpha,0.0091641442850232,0.5549999999999999,Alpha,3.0,3,0.9930807378453513,A,优先,0,0,1,5|3|T1,1,1,A; in_domain; 3/3 seeds support Alpha; template support=1,screening priority only; soft compatibility is literature support and Beta/Alpha score is not calibrated reaction-success probability,"verify full equivalents, concentration, addition order, atmosphere and work-up in the representative source before experiment"
C1_T01,1,任务1,第一类预测任务,4,"Synthesis (2024), 56(3), 487-495",31-614-CAS-44833731,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,Alpha,standard,Dichloromethane,N-Iodosuccinimide,25.0,30.0,Alpha,C1_T01::CT_419d2b2ca50a56ae,thioglycoside,,CT_419d2b2ca50a56ae,Dichloromethane,3,Pyridine,12,25.0,30.0,1,1,1,1,3,1,2,31-013-CAS-1407934,31-013-CAS-1407934;31-614-CAS-39928734;31-614-CAS-39928848,skeleton_only; equivalents/concentration/addition_order/atmosphere not available,True,False,predicted,,已通过硬结构过滤；第二层为文献支持度，第三层为多数投票立体选择性。,parsed,ok,ok,,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,thioglycoside,auto_unique_free,16.0,free,1.0,1.0,0.0,0.9877754052480062,False,"[1,1,1]",feasible,0.9710150361061096,0.8609598278999329,74.58628841607565,0.7605817914009094,0.8008449077606201,in_domain,31-614-CAS-44833731,0.971015,"relative similarity to literature successful reactions; this is an applicability-domain and literature-support score, not a reaction probability",Alpha,0.0903611574321985,False,3/3,,1.3.1,2026-08-04T11:19:28.283572+00:00,0.9880052208900452,feasible,0.987659513950348,feasible,0.9876614809036256,feasible,0.0297185834497213,0.8049999999999999,Alpha,0.2114332020282745,0.8599999999999999,Alpha,0.0299316868185997,0.5549999999999999,Alpha,3.0,3,0.9096388425678015,A,优先,0,0,1,12|3|T1,22,2,A; in_domain; 3/3 seeds support Alpha; template support=3,screening priority only; soft compatibility is literature support and Beta/Alpha score is not calibrated reaction-success probability,"verify full equivalents, concentration, addition order, atmosphere and work-up in the representative source before experiment"
C1_T01,1,任务1,第一类预测任务,4,"Synthesis (2024), 56(3), 487-495",31-614-CAS-44833731,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,Alpha,standard,Dichloromethane,N-Iodosuccinimide,25.0,30.0,Alpha,C1_T01::CT_a209b2461af1c989,thioglycoside,,CT_a209b2461af1c989,Dichloromethane,3,Sodium thiosulfate,16,25.0,30.0,1,1,1,1,4,2,2,31-006-CAS-18977533,31-006-CAS-18977533;31-013-CAS-10173116;31-013-CAS-12308870;31-013-CAS-2596944,skeleton_only; equivalents/concentration/addition_order/atmosphere not available,True,False,predicted,,已通过硬结构过滤；第二层为文献支持度，第三层为多数投票立体选择性。,parsed,ok,ok,,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,thioglycoside,auto_unique_free,16.0,free,1.0,1.0,0.0,0.9877754052480062,False,"[1,1,1]",feasible,0.9710150361061096,0.8609598278999329,74.58628841607565,0.7605817914009094,0.8008449077606201,in_domain,31-614-CAS-44833731,0.971015,"relative similarity to literature successful reactions; this is an applicability-domain and literature-support score, not a reaction probability",Alpha,0.1615949366241693,False,3/3,,1.3.1,2026-08-04T11:19:28.283572+00:00,0.9880052208900452,feasible,0.987659513950348,feasible,0.9876614809036256,feasible,0.0838554725050926,0.8049999999999999,Alpha,0.3765093684196472,0.8599999999999999,Alpha,0.0244199689477682,0.5549999999999999,Alpha,3.0,3,0.8384050633758307,A,优先,0,0,1,16|3|T1,23,3,A; in_domain; 3/3 seeds support Alpha; template support=4,screening priority only; soft compatibility is literature support and Beta/Alpha score is not calibrated reaction-success probability,"verify full equivalents, concentration, addition order, atmosphere and work-up in the representative source before experiment"
C1_T01,1,任务1,第一类预测任务,4,"Synthesis (2024), 56(3), 487-495",31-614-CAS-44833731,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,Alpha,standard,Dichloromethane,N-Iodosuccinimide,25.0,30.0,Alpha,C1_T01::CT_b40a24940f02663a,thioglycoside,,CT_b40a24940f02663a,Dichloromethane,3,Trifluoromethanesulfonic acid,6,25.0,30.0,1,1,1,1,14,10,4,31-013-CAS-10436330,31-013-CAS-10316632;31-013-CAS-10436330;31-013-CAS-11609556;31-013-CAS-12459743;31-013-CAS-17868344;31-013-CAS-22357494;31-013-CAS-4038549;31-013-CAS-8718266;31-013-CAS-8835573;31-614-CAS-23946122;31-614-CAS-23946125;31-614-CAS-37587985;31-614-CAS-37587999;31-614-CAS-37588004,skeleton_only; equivalents/concentration/addition_order/atmosphere not available,True,False,predicted,,已通过硬结构过滤；第二层为文献支持度，第三层为多数投票立体选择性。,parsed,ok,ok,,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,thioglycoside,auto_unique_free,16.0,free,1.0,1.0,0.0,0.9877754052480062,False,"[1,1,1]",feasible,0.9710150361061096,0.8680447340011597,74.58628841607565,0.7605817914009094,0.8008449077606201,in_domain,31-614-CAS-44833731,0.971015,"relative similarity to literature successful reactions; this is an applicability-domain and literature-support score, not a reaction probability",Alpha,0.1636800915002823,False,3/3,,1.3.1,2026-08-04T11:19:28.283572+00:00,0.9880052208900452,feasible,0.987659513950348,feasible,0.9876614809036256,feasible,0.0570021122694015,0.8049999999999999,Alpha,0.3185998797416687,0.8599999999999999,Alpha,0.1154382824897766,0.5549999999999999,Alpha,3.0,3,0.8363199084997177,A,优先,0,0,1,6|3|T1,24,4,A; in_domain; 3/3 seeds support Alpha; template support=14,screening priority only; soft compatibility is literature support and Beta/Alpha score is not calibrated reaction-success probability,"verify full equivalents, concentration, addition order, atmosphere and work-up in the representative source before experiment"
C1_T01,1,任务1,第一类预测任务,4,"Synthesis (2024), 56(3), 487-495",31-614-CAS-44833731,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,Alpha,standard,Dichloromethane,N-Iodosuccinimide,25.0,30.0,Alpha,C1_T01::CT_597149f37d3bdab4,thioglycoside,,CT_597149f37d3bdab4,Dichloromethane,3,Copper bromide,20,25.0,30.0,1,1,1,1,1,1,0,31-013-CAS-14210003,31-013-CAS-14210003,skeleton_only; equivalents/concentration/addition_order/atmosphere not available,True,False,predicted,,已通过硬结构过滤；第二层为文献支持度，第三层为多数投票立体选择性。,parsed,ok,ok,,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,thioglycoside,auto_unique_free,16.0,free,1.0,1.0,0.0,0.9877754052480062,False,"[1,1,1]",feasible,0.9710150361061096,0.8609598278999329,74.58628841607565,0.7605817914009094,0.8008449077606201,in_domain,31-614-CAS-44833731,0.971015,"relative similarity to literature successful reactions; this is an applicability-domain and literature-support score, not a reaction probability",Alpha,0.1715567087133725,False,3/3,,1.3.1,2026-08-04T11:19:28.283572+00:00,0.9880052208900452,feasible,0.987659513950348,feasible,0.9876614809036256,feasible,0.1120829805731773,0.8049999999999999,Alpha,0.3110221326351166,0.8599999999999999,Alpha,0.0915650129318237,0.5549999999999999,Alpha,3.0,3,0.8284432912866275,A,优先,0,0,1,20|3|T1,25,5,A; in_domain; 3/3 seeds support Alpha; template support=1,screening priority only; soft compatibility is literature support and Beta/Alpha score is not calibrated reaction-success probability,"verify full equivalents, concentration, addition order, atmosphere and work-up in the representative source before experiment"
C1_T01,1,任务1,第一类预测任务,4,"Synthesis (2024), 56(3), 487-495",31-614-CAS-44833731,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,Alpha,standard,Dichloromethane,N-Iodosuccinimide,25.0,30.0,Alpha,C1_T01::CT_d52a22389fcee877,thioglycoside,,CT_d52a22389fcee877,Dichloromethane,3,Sulfobromophthalein,24,25.0,30.0,1,1,1,1,3,2,1,31-013-CAS-13207789,31-013-CAS-13207789;31-013-CAS-5828265;31-013-CAS-7954210,skeleton_only; equivalents/concentration/addition_order/atmosphere not available,True,False,predicted,,已通过硬结构过滤；第二层为文献支持度，第三层为多数投票立体选择性。,parsed,ok,ok,,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,thioglycoside,auto_unique_free,16.0,free,1.0,1.0,0.0,0.9877754052480062,False,"[1,1,1]",feasible,0.9710150361061096,0.8609598278999329,74.58628841607565,0.7605817914009094,0.8008449077606201,in_domain,31-614-CAS-44833731,0.971015,"relative similarity to literature successful reactions; this is an applicability-domain and literature-support score, not a reaction probability",Alpha,0.191818818449974,False,3/3,,1.3.1,2026-08-04T11:19:28.283572+00:00,0.9880052208900452,feasible,0.987659513950348,feasible,0.9876614809036256,feasible,0.0510408952832222,0.8049999999999999,Alpha,0.4528861045837402,0.8599999999999999,Alpha,0.0715294554829597,0.5549999999999999,Alpha,3.0,3,0.8081811815500259,A,优先,0,0,1,24|3|T1,26,6,A; in_domain; 3/3 seeds support Alpha; template support=3,screening priority only; soft compatibility is literature support and Beta/Alpha score is not calibrated reaction-success probability,"verify full equivalents, concentration, addition order, atmosphere and work-up in the representative source before experiment"
C1_T01,1,任务1,第一类预测任务,4,"Synthesis (2024), 56(3), 487-495",31-614-CAS-44833731,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,Alpha,standard,Dichloromethane,N-Iodosuccinimide,25.0,30.0,Alpha,C1_T01::CT_253d6faff675006b,thioglycoside,,CT_253d6faff675006b,Dichloromethane,3,Trimethylsilyl triflate,3,25.0,30.0,1,1,1,1,7,2,5,31-013-CAS-20094021,31-013-CAS-10003094;31-013-CAS-13505033;31-013-CAS-16004431;31-013-CAS-16004432;31-013-CAS-19191565;31-013-CAS-20094021;31-013-CAS-22936260,skeleton_only; equivalents/concentration/addition_order/atmosphere not available,True,False,predicted,,已通过硬结构过滤；第二层为文献支持度，第三层为多数投票立体选择性。,parsed,ok,ok,,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,thioglycoside,auto_unique_free,16.0,free,1.0,1.0,0.0,0.9877754052480062,False,"[1,1,1]",feasible,0.9710150361061096,0.8725107312202454,74.58628841607565,0.7605817914009094,0.8008449077606201,in_domain,31-614-CAS-44833731,0.971015,"relative similarity to literature successful reactions; this is an applicability-domain and literature-support score, not a reaction probability",Alpha,0.2225018056730429,False,3/3,,1.3.1,2026-08-04T11:19:28.283572+00:00,0.9880052208900452,feasible,0.987659513950348,feasible,0.9876614809036256,feasible,0.0566846467554569,0.8049999999999999,Alpha,0.5251117944717407,0.8599999999999999,Alpha,0.0857089757919311,0.5549999999999999,Alpha,3.0,3,0.7774981943269571,A,优先,0,0,1,3|3|T1,27,7,A; in_domain; 3/3 seeds support Alpha; template support=7,screening priority only; soft compatibility is literature support and Beta/Alpha score is not calibrated reaction-success probability,"verify full equivalents, concentration, addition order, atmosphere and work-up in the representative source before experiment"
C1_T01,1,任务1,第一类预测任务,4,"Synthesis (2024), 56(3), 487-495",31-614-CAS-44833731,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,Alpha,standard,Dichloromethane,N-Iodosuccinimide,25.0,30.0,Alpha,C1_T01::CT_2279c7b328364f9d,thioglycoside,,CT_2279c7b328364f9d,Dichloromethane,3,Trifluoromethanesulfonic anhydride,9,25.0,30.0,1,1,1,1,7,1,6,31-614-CAS-42125040,31-013-CAS-11969359;31-013-CAS-12386349;31-013-CAS-18395672;31-013-CAS-8454219;31-013-CAS-8454436;31-301-CAS-2505839;31-614-CAS-42125040,skeleton_only; equivalents/concentration/addition_order/atmosphere not available,True,False,predicted,,已通过硬结构过滤；第二层为文献支持度，第三层为多数投票立体选择性。,parsed,ok,ok,,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O)[C@H]1N1C(=O)c2ccccc2C1=O,thioglycoside,auto_unique_free,16.0,free,1.0,1.0,0.0,0.9877754052480062,False,"[1,1,1]",feasible,0.9710150361061096,0.8609598278999329,74.58628841607565,0.7605817914009094,0.8008449077606201,in_domain,31-614-CAS-44833731,0.971015,"relative similarity to literature successful reactions; this is an applicability-domain and literature-support score, not a reaction probability",Alpha,0.2570301381250222,False,3/3,,1.3.1,2026-08-04T11:19:28.283572+00:00,0.9880052208900452,feasible,0.987659513950348,feasible,0.9876614809036256,feasible,0.1130998730659484,0.8049999999999999,Alpha,0.6046127080917358,0.8599999999999999,Alpha,0.0533778332173824,0.5549999999999999,Alpha,3.0,3,0.7429698618749778,A,优先,0,0,1,9|3|T1,28,8,A; in_domain; 3/3 seeds support Alpha; template support=7,screening priority only; soft compatibility is literature support and Beta/Alpha score is not calibrated reaction-success probability,"verify full equivalents, concentration, addition order, atmosphere and work-up in the representative source before experiment"
C1_T02,1,任务2,第一类预测任务,16,"Beilstein Journal of Organic Chemistry (2014), 10, 293-299, 7 pp.",31-013-CAS-16017995,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OC(C)=O)[C@H]1N1C(=O)c2ccccc2C1=O,Alpha,standard,"Dichloromethane,Diethyl ether",Trifluoromethanesulfonic acid,25.0,30.0,Alpha,C1_T02::CT_a22f378e61eff999,thioglycoside,,CT_a22f378e61eff999,Dichloromethane;Diethyl ether,3;4,Trifluoromethanesulfonic acid,6,25.0,60.0,1,1,1,1,4,2,2,31-013-CAS-14723929,31-013-CAS-113679;31-013-CAS-12570626;31-013-CAS-14723929;31-013-CAS-6201072,skeleton_only; equivalents/concentration/addition_order/atmosphere not available,True,False,predicted,,已通过硬结构过滤；第二层为文献支持度，第三层为多数投票立体选择性。,parsed,ok,ok,,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OC(C)=O)[C@H]1N1C(=O)c2ccccc2C1=O,thioglycoside,auto_unique_free,16.0,free,1.0,1.0,0.0,0.9877815246582032,False,"[1,1,1]",feasible,0.9950255155563354,0.8904728889465332,86.64302600472813,0.7605817914009094,0.8008449077606201,in_domain,31-013-CAS-16017995,0.995026,"relative similarity to literature successful reactions; this is an applicability-domain and literature-support score, not a reaction probability",Alpha,0.0040748304066558,False,3/3,,1.3.1,2026-08-04T11:19:28.283572+00:00,0.9880818128585817,feasible,0.9875840544700624,feasible,0.9876787066459656,feasible,0.0048186467029154,0.8049999999999999,Alpha,0.0032715704292058,0.8599999999999999,Alpha,0.0041342740878462,0.5549999999999999,Alpha,3.0,3,0.9959251695933442,A,优先,0,0,1,6|3;4|T1,1,1,A; in_domain; 3/3 seeds support Alpha; template support=4,screening priority only; soft compatibility is literature support and Beta/Alpha score is not calibrated reaction-success probability,"verify full equivalents, concentration, addition order, atmosphere and work-up in the representative source before experiment"
C1_T02,1,任务2,第一类预测任务,16,"Beilstein Journal of Organic Chemistry (2014), 10, 293-299, 7 pp.",31-013-CAS-16017995,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OC(C)=O)[C@H]1N1C(=O)c2ccccc2C1=O,Alpha,standard,"Dichloromethane,Diethyl ether",Trifluoromethanesulfonic acid,25.0,30.0,Alpha,C1_T02::CT_61ef99f37ff346b4,thioglycoside,,CT_61ef99f37ff346b4,Dichloromethane;Diethyl ether,3;4,N-Iodosuccinimide,5,25.0,30.0,1,1,1,1,4,3,1,31-013-CAS-2541337,31-013-CAS-18334609;31-013-CAS-2541337;31-013-CAS-6341435;31-614-CAS-27463098,skeleton_only; equivalents/concentration/addition_order/atmosphere not available,True,False,predicted,,已通过硬结构过滤；第二层为文献支持度，第三层为多数投票立体选择性。,parsed,ok,ok,,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OC(C)=O)[C@H]1N1C(=O)c2ccccc2C1=O,thioglycoside,auto_unique_free,16.0,free,1.0,1.0,0.0,0.9877815246582032,False,"[1,1,1]",feasible,0.9746828079223632,0.9002714157104492,77.18676122931441,0.7605817914009094,0.8008449077606201,in_domain,31-013-CAS-16017995,0.974683,"relative similarity to literature successful reactions; this is an applicability-domain and literature-support score, not a reaction probability",Alpha,0.0021074621084456,False,3/3,,1.3.1,2026-08-04T11:19:28.283572+00:00,0.9880818128585817,feasible,0.9875840544700624,feasible,0.9876787066459656,feasible,0.002973907161504,0.8049999999999999,Alpha,0.0012798564275726,0.8599999999999999,Alpha,0.0020686227362602,0.5549999999999999,Alpha,3.0,3,0.9978925378915544,A,优先,0,0,1,5|3;4|T1,9,2,A; in_domain; 3/3 seeds support Alpha; template support=4,screening priority only; soft compatibility is literature support and Beta/Alpha score is not calibrated reaction-success probability,"verify full equivalents, concentration, addition order, atmosphere and work-up in the representative source before experiment"
