Source_Negative_Row,Source_Sequence_ID,Original_Acceptor_SMILES,Repaired_Acceptor_SMILES,Raw_RDKit_Parse_OK,Repaired_RDKit_Parse_OK,Modified,Repair_Count,Removed_Bracket_Positions_1Based,Repaired_Canonical_SMILES
2,1,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@H]1O[Si](C(C)(C)C)(C)C,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@H]1O[Si](C(C)(C)C)(C)C,True,True,False,0,,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O[Si](C)(C)C(C)(C)C)O[C@@H]1COCc1ccccc1
3,2,O([Si](C(C(C)C)(C)C)(C)C)[C@H]1[C@H](N=[N+]=[N-])[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1,O([Si](C(C(C)C)(C)C)(C)C)[C@H]1[C@H](N=[N+]=[N-])[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1,True,True,False,0,,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O[Si](C)(C)C(C)(C)C(C)C)O[C@@H]1COCc1ccccc1
4,3,N(C(C)=O)[C@@H]1[C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COC(C)=O)O[C@H]1OC(C)=O,N(C(C)=O)[C@@H]1[C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COC(C)=O)O[C@H]1OC(C)=O,True,True,False,0,,CC(=O)N[C@H]1[C@H](OC(C)=O)O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
5,4,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](O[C@@H](C(OCC2=CC=CC=C2)=O)C)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@@H]1OCC=C,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](O[C@@H](C(OCC2=CC=CC=C2)=O)C)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@@H]1OCC=C,True,True,False,0,,C=CCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](O[C@H](C)C(=O)OCc2ccccc2)[C@H]1NC(=O)OCC(Cl)(Cl)Cl
6,5,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](CO[Si](C(C)(C)C)(C)C)O[C@H]1OCC3=CC=C(OCCCCCCCC/C=C\CCCCCCCC)C=C3,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](CO[Si](C(C)(C)C)(C)C)O[C@H]1OCC3=CC=C(OCCCCCCCC/C=C\CCCCCCCC)C=C3,True,True,False,0,,CCCCCCCC/C=C\CCCCCCCCOc1ccc(CO[C@@H]2O[C@H](CO[Si](C)(C)C(C)(C)C)[C@@H](OC(C)=O)[C@H](OCc3ccccc3)[C@H]2NC(=O)OCC(Cl)(Cl)Cl)cc1
7,6,O([Si](C(C)(C)C)(C)C)[C@H]1[C@H](N=[N+]=[N-])[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COC(C)=O)O1,O([Si](C(C)(C)C)(C)C)[C@H]1[C@H](N=[N+]=[N-])[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COC(C)=O)O1,True,True,False,0,,CC(=O)OC[C@H]1O[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](N=[N+]=[N-])[C@@H](OCc2ccccc2)[C@@H]1OC(C)=O
8,7,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COC(=O)C3=CC=CC=C3)O[C@H]1O[Si](C(C)(C)C)(C)C,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COC(=O)C3=CC=CC=C3)O[C@H]1O[Si](C(C)(C)C)(C)C,True,True,False,0,,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O[Si](C)(C)C(C)(C)C)O[C@@H]1COC(=O)c1ccccc1
9,8,S([C@H]1[C@]2([C@]([C@H](OC(=O)C)[C@@H](COC3=CC=C(OC)C=C3)O1)(OC(=O)N2)[H])[H])C4=CC=C(C)C=C4,S([C@H]1[C@]2([C@]([C@H](OC(=O)C)[C@@H](COC3=CC=C(OC)C=C3)O1)(OC(=O)N2)[H])[H])C4=CC=C(C)C=C4,True,True,False,0,,COc1ccc(OC[C@H]2O[C@@H](Sc3ccc(C)cc3)[C@@H]3NC(=O)O[C@H]3[C@@H]2OC(C)=O)cc1
10,9,S([C@H]1[C@]2([C@]([C@H](OC(=O)C)[C@@H](COC3=CC=C(OC)C=C3)O1)(OC(=O)N2)[H])[H])C4=CC=C(C)C=C4,S([C@H]1[C@]2([C@]([C@H](OC(=O)C)[C@@H](COC3=CC=C(OC)C=C3)O1)(OC(=O)N2)[H])[H])C4=CC=C(C)C=C4,True,True,False,0,,COc1ccc(OC[C@H]2O[C@@H](Sc3ccc(C)cc3)[C@@H]3NC(=O)O[C@H]3[C@@H]2OC(C)=O)cc1
11,10,O([C@@H]1[C@@H](OC(C)=O)[C@H](O[C@H]2[C@H](OC(OCC(Cl)(Cl)Cl)=O)[C@@H](NC(C)=O)[C@H](OCC=C)O[C@@H]2COCC3=CC=CC=C3)O[C@H](COC(C)=O)[C@@H]1OC(C)=O)[C@H]4[C@H](NC(C(Cl)(Cl)Cl)=O)[C@@H](OC(CCl)=O)[C@H](OC(=O)C)[C@@H](COCC5=CC=CC=C5)O4,O([C@@H]1[C@@H](OC(C)=O)[C@H](O[C@H]2[C@H](OC(OCC(Cl)(Cl)Cl)=O)[C@@H](NC(C)=O)[C@H](OCC=C)O[C@@H]2COCC3=CC=CC=C3)O[C@H](COC(C)=O)[C@@H]1OC(C)=O)[C@H]4[C@H](NC(C(Cl)(Cl)Cl)=O)[C@@H](OC(CCl)=O)[C@H](OC(=O)C)[C@@H](COCC5=CC=CC=C5)O4,True,True,False,0,,C=CCO[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O[C@@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](O[C@@H]3O[C@H](COCc4ccccc4)[C@@H](OC(C)=O)[C@H](OC(=O)CCl)[C@H]3NC(=O)C(Cl)(Cl)Cl)[C@H]2OC(C)=O)[C@H](OC(=O)OCC(Cl)(Cl)Cl)[C@H]1NC(C)=O
