Source_Negative_Row,Source_Sequence_ID,Donor_Canonical_SMILES,Original_Blocked_Acceptor_SMILES,Repaired_Blocked_Acceptor_SMILES,Blocked_Acceptor_Canonical_SMILES,Solvent,Catalyst,Temp_C,Time_min,Candidate_Parents_With_Same_Donor,Review_Reason,Training_Decision
17,16,CC(=O)OC[C@H]1O[C@@H]2OC(C(Cl)(Cl)Cl)=N[C@@H]2[C@H](OC(C)=O)[C@@H]1OC(C)=O,N(C(C(Cl)(Cl)Cl)=O)[C@@H]1[C@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OCC3=CC4=C(C=C3)C=CC=C4,N(C(C(Cl)(Cl)Cl)=O)[C@@H]1[C@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OCC3=CC4=C(C=C3)C=CC=C4,CC(=O)O[C@H]1[C@@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)O[C@H](COCc2ccccc2)[C@H]1OC(C)=O,"Dichloromethane,Ethyl acetate",Trimethylsilyl triflate,0,60,0,no_exact_match_to_regenerated_parent_o4_acetate,exclude_pending_manual_review
59,58,CC(=O)OC[C@H]1O[C@H]2OC(C(Cl)(Cl)Cl)=N[C@H]2[C@@H](OC(C)=O)[C@H]1OC(C)=O,N(C(C(Cl)(Cl)Cl)=O)[C@@H]1[C@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OCC3=CC4=C(C=C3)C=CC=C4,N(C(C(Cl)(Cl)Cl)=O)[C@@H]1[C@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OCC3=CC4=C(C=C3)C=CC=C4,CC(=O)O[C@H]1[C@@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)O[C@H](COCc2ccccc2)[C@H]1OC(C)=O,"Dichloromethane,Ethyl acetate",Trimethylsilyl triflate,-20,180,0,no_exact_match_to_regenerated_parent_o4_acetate,exclude_pending_manual_review
395,394,CC(=O)OC[C@H]1O[C@@H]2OC(C(F)(F)F)=N[C@@H]2[C@@H](OC(C)=O)[C@@H]1O[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1NC(=O)C(F)(F)F,[Si](O[C@H]1[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]2[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H]](COCC3=CC=CC=C3)O2)[C@@H](COC(C)=O)O1)(C(C)(C)C)(C4=CC=CC=C4)C5=CC=CC=C5,[Si](O[C@H]1[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]2[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O2)[C@@H](COC(C)=O)O1)(C(C)(C)C)(C4=CC=CC=C4)C5=CC=CC=C5,CC(=O)OC[C@H]1O[C@@H](O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@H](NC(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1NC(=O)C(F)(F)F,Dichloromethane,Triethylamine,25,60,0,no_exact_match_to_regenerated_parent_o4_acetate,exclude_pending_manual_review
398,397,CC(=O)CCC(=O)O[C@H]1[C@H](OC(C)=O)[C@@H](NC(=O)C(F)(F)F)[C@H](O[C@H]2[C@H](OC(C)=O)[C@H]3N=C(C(F)(F)F)O[C@H]3O[C@@H]2COC(C)=O)O[C@@H]1COCc1ccccc1,[Si](O[C@H]1[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]2[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H]](COCC3=CC=CC=C3)O2)[C@@H](COC(C)=O)O1)(C(C)(C)C)(C4=CC=CC=C4)C5=CC=CC=C5,[Si](O[C@H]1[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]2[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O2)[C@@H](COC(C)=O)O1)(C(C)(C)C)(C4=CC=CC=C4)C5=CC=CC=C5,CC(=O)OC[C@H]1O[C@@H](O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@H](NC(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1NC(=O)C(F)(F)F,Dichloromethane,Triethylamine,25,60,0,no_exact_match_to_regenerated_parent_o4_acetate,exclude_pending_manual_review
402,401,CC(=O)CCC(=O)O[C@H]1[C@H](OC(C)=O)[C@@H](NC(=O)C(F)(F)F)[C@H](O[C@H]2[C@H](OC(C)=O)[C@H]3N=C(C(F)(F)F)O[C@H]3O[C@@H]2COC(C)=O)O[C@@H]1COCc1ccccc1,[Si](O[C@H]1[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]2[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]3[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]4[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H]](COCC5=CC=CC=C5)O4)[C@@H](COC(C)=O)O3)[C@@H](COCC6=CC=CC=C6)O2)[C@@H](COC(C)=O)O1)(C(C)(C)C)(C7=CC=CC=C7)C8=CC=CC=C8,[Si](O[C@H]1[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]2[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]3[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]4[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC5=CC=CC=C5)O4)[C@@H](COC(C)=O)O3)[C@@H](COCC6=CC=CC=C6)O2)[C@@H](COC(C)=O)O1)(C(C)(C)C)(C7=CC=CC=C7)C8=CC=CC=C8,CC(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(C)=O)[C@@H](NC(=O)C(F)(F)F)[C@H](O[C@H]3[C@H](OC(C)=O)[C@@H](NC(=O)C(F)(F)F)[C@H](O[Si](c4ccccc4)(c4ccccc4)C(C)(C)C)O[C@@H]3COC(C)=O)O[C@@H]2COCc2ccccc2)[C@H](NC(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1NC(=O)C(F)(F)F,Dichloromethane,Triethylamine,25,60,0,no_exact_match_to_regenerated_parent_o4_acetate,exclude_pending_manual_review
407,406,CC(=O)OC[C@H]1O[C@@H]2OC(C(F)(F)F)=N[C@@H]2[C@@H](OC(C)=O)[C@@H]1O[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1N(C(C)=O)C(=O)OC(C)(C)C,[Si](O[C@H]1[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]2[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]3[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H]](COCC4=CC=CC=C4)O3)[C@@H](COC(C)=O)O2)[C@@H](COC(C)=O)O1)(C(C)(C)C)(C5=CC=CC=C5)C6=CC=CC=C6,[Si](O[C@H]1[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]2[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](O[C@H]3[C@H](NC(C(F)(F)F)=O)[C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC4=CC=CC=C4)O3)[C@@H](COC(C)=O)O2)[C@@H](COC(C)=O)O1)(C(C)(C)C)(C5=CC=CC=C5)C6=CC=CC=C6,CC(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(C)=O)[C@@H](NC(=O)C(F)(F)F)[C@H](O[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)O[C@@H]2COC(C)=O)[C@H](NC(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1NC(=O)C(F)(F)F,Dichloromethane,Triethylamine,25,626,0,no_exact_match_to_regenerated_parent_o4_acetate,exclude_pending_manual_review
503,502,C[C@@H]1O[C@H](S(=O)c2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,O([C@@H]1[C@@H](N=[N+]=[N-])[C@@H](SC2=CC=CC=C2)O[C@H](COC(C(C)(C)C)=O)[C@H]1O)[C@H]3[C@H](OC(=O)C)[C@@H]](OCC4=CC=CC=C4)[C@@H](OCC5=CC=CC=C5)[C@@H](COCC6=CC=CC=C6)O3,O([C@@H]1[C@@H](N=[N+]=[N-])[C@@H](SC2=CC=CC=C2)O[C@H](COC(C(C)(C)C)=O)[C@H]1O)[C@H]3[C@H](OC(=O)C)[C@@H](OCC4=CC=CC=C4)[C@@H](OCC5=CC=CC=C5)[C@@H](COCC6=CC=CC=C6)O3,CC(=O)O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](COC(=O)C(C)(C)C)O[C@H](Sc3ccccc3)[C@@H]2N=[N+]=[N-])O[C@H](COCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,Dichloromethane,Trifluoromethanesulfonic anhydride,626,626,2,no_exact_match_to_regenerated_parent_o4_acetate,exclude_pending_manual_review
591,590,Cc1ccc(S[C@H]2O[C@@H](C)[C@@H](OCc3ccccc3)[C@@H](OCc3ccccc3)[C@@H]2OCc2ccccc2)cc1,O([C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](O[C@H]3[C@H](OCC4=CC=CC=C4)[C@@H](OCC5=CC=CC=C5)[C@H](OCCCN=[N+]=[N-])O[C@@H]3COCC6=CC=CC=C6)O[C@H](COCC7=CC=CC=C7)[C@@H]1OCC8=CC=CC=C8)[C@H]9[C@H](NC(C)=O)[C@@H](O[C@H]%10[C@H](OC(=O)C)[C@@H]](O[C@@H]%11[C@H](OCC%12=CC=CC=C%12)[C@@H](OCC%13=CC=CC=C%13)[C@@H](OCC%14=CC=CC=C%14)[C@@H](COCC%15=CC=CC=C%15)O%11)[C@@H](OCC%16=CC=CC=C%16)[C@@H](COCC%17=CC=CC=C%17)O%10)[C@H](OC(=O)C)[C@@H]](COCC%18=CC=CC=C%18)O9,O([C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](O[C@H]3[C@H](OCC4=CC=CC=C4)[C@@H](OCC5=CC=CC=C5)[C@H](OCCCN=[N+]=[N-])O[C@@H]3COCC6=CC=CC=C6)O[C@H](COCC7=CC=CC=C7)[C@@H]1OCC8=CC=CC=C8)[C@H]9[C@H](NC(C)=O)[C@@H](O[C@H]%10[C@H](OC(=O)C)[C@@H](O[C@@H]%11[C@H](OCC%12=CC=CC=C%12)[C@@H](OCC%13=CC=CC=C%13)[C@@H](OCC%14=CC=CC=C%14)[C@@H](COCC%15=CC=CC=C%15)O%11)[C@@H](OCC%16=CC=CC=C%16)[C@@H](COCC%17=CC=CC=C%17)O%10)[C@H](OC(=O)C)[C@@H](COCC%18=CC=CC=C%18)O9,CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](COCc3ccccc3)O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](OCc4ccccc4)[C@H](OCCCN=[N+]=[N-])O[C@@H]3COCc3ccccc3)[C@@H]2OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@H](OCc2ccccc2)[C@H](O[C@H]2O[C@H](COCc3ccccc3)[C@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)[C@H]1OC(C)=O,Dichloromethane,Triethylamine,25,120,2,no_exact_match_to_regenerated_parent_o4_acetate,exclude_pending_manual_review
628,627,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,O([C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](O[C@H]3[C@H](OC(=O)C4=CC=CC=C4)[C@@H](OC(=O)C5=CC=CC=C5)[C@H](SCC)O[C@@H]3COC(=O)C6=CC=CC=C6)O[C@H](COCC7=CC=CC=C7)[C@@H]1OCC8=CC=CC=C8)[C@H]9[C@H](NC(C)=O)[C@@H](O[C@H]%10[C@H](OC(=O)C)[C@@H]](OCC%11=CC=CC=C%11)[C@@H](OCC%12=CC=CC=C%12)[C@@H](COCC%13=CC=CC=C%13)O%10)[C@H](OC(=O)C)[C@@H]](COCC%14=CC=CC=C%14)O9,O([C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](O[C@H]3[C@H](OC(=O)C4=CC=CC=C4)[C@@H](OC(=O)C5=CC=CC=C5)[C@H](SCC)O[C@@H]3COC(=O)C6=CC=CC=C6)O[C@H](COCC7=CC=CC=C7)[C@@H]1OCC8=CC=CC=C8)[C@H]9[C@H](NC(C)=O)[C@@H](O[C@H]%10[C@H](OC(=O)C)[C@@H](OCC%11=CC=CC=C%11)[C@@H](OCC%12=CC=CC=C%12)[C@@H](COCC%13=CC=CC=C%13)O%10)[C@H](OC(=O)C)[C@@H](COCC%14=CC=CC=C%14)O9,CCS[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O[C@@H]2O[C@H](COCc3ccccc3)[C@H](OCc3ccccc3)[C@H](O[C@@H]3O[C@H](COCc4ccccc4)[C@@H](OC(C)=O)[C@H](O[C@@H]4O[C@H](COCc5ccccc5)[C@H](OCc5ccccc5)[C@H](OCc5ccccc5)[C@H]4OC(C)=O)[C@H]3NC(C)=O)[C@H]2OCc2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1,Dichloromethane,Bromine,25,10,16,no_exact_match_to_regenerated_parent_o4_acetate,exclude_pending_manual_review
632,631,CCS[C@H]1O[C@@H](C)[C@@H](OCc2ccc(OC)cc2)[C@@H](OCc2ccc(OC)cc2)[C@@H]1OCc1ccc(OC)cc1,O([C@@H]1[C@@H](NC(C)=O)[C@H](SCC#N)O[C@H](COC(C)=O)[C@H]1O)[C@H]2[C@H](OC(=O)C)[C@@H]](OC(C)=O)[C@@H](OC(C)=O)[C@@H](COC(C)=O)O2,O([C@@H]1[C@@H](NC(C)=O)[C@H](SCC#N)O[C@H](COC(C)=O)[C@H]1O)[C@H]2[C@H](OC(=O)C)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](COC(C)=O)O2,CC(=O)N[C@@H]1[C@@H](O[C@@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@H](O)[C@@H](COC(C)=O)O[C@H]1SCC#N,Dichloromethane,Tetrabutylammonium bromide,25,60,4,no_exact_match_to_regenerated_parent_o4_acetate,exclude_pending_manual_review
