ID,Source,Source_Type,Year,Reaction_ID,Donor_SMILES,Donor_Type,Acceptor_SMILES,Solvent,Solvent_SMILES,has_solvent,Catalyst,Catalyst_SMILES,has_catalyst,Temp_C,has_temp,Time_min,has_time,Product_Config,Label,Donor_Canonical_SMILES,Acceptor_Canonical_SMILES,Pair_Key
1,"Angewandte Chemie, International Edition (2013), 52(28), 7181-7185",期刊,2013,31-010-CAS-2299030,O(C(C)=O)[C@H]1[C@@H](OCC2=CC=CC=C2)[C@H](N=[N+]=[N-])[C@@H](C)OC1OC(=NC3=CC=CC=C3)C(F)(F)F,trifluoroacetimidate,O(CC1=CC=CC=C1)[C@H]2[C@H](N=[N+]=[N-])[C@@H](C)O[C@H](SCC)[C@H]2O,Dichloromethane,ClCCl,1,Triethylamine,N(CC)(CC)CC,1,0,1,30.0,1,a,0,CC(=O)O[C@@H]1C(OC(=Nc2ccccc2)C(F)(F)F)O[C@H](C)[C@@H](N=[N+]=[N-])[C@@H]1OCc1ccccc1,CCS[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O,96C170F9
2,"Tetrahedron Letters (2006), 47(21), 3583-3587",期刊,2006,31-010-CAS-2969316,O(CC1=CC=CC=C1)[C@@H]2[C@@H](OCC3=CC=CC=C3)C(OC(=NC4=CC=CC=C4)C(F)(F)F)O[C@H](COCC5=CC=CC=C5)[C@H]2OCC6=CC=CC=C6,trifluoroacetimidate,N(=[N+]=[N-])[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OC,Dichloromethane;Toluene,ClCCl;C=1C=CC(=CC1)C,1,Pyridine,N=1C=CC=CC1,1,25,1,60.0,1,a,0,FC(F)(F)C(=Nc1ccccc1)OC1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O)[C@H](OC(C)=O)[C@H]1N=[N+]=[N-],9E837434
3,"Tetrahedron Letters (2006), 47(21), 3583-3587",期刊,2006,31-010-CAS-9358549,O(CC1=CC=CC=C1)[C@@H]2[C@@H](OC(C)=O)[C@H](OCC3=CC=CC=C3)[C@@H](COCC4=CC=CC=C4)OC2OC(=NC5=CC=CC=C5)C(F)(F)F,trifluoroacetimidate,N(=[N+]=[N-])[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OC,Dichloromethane;Toluene,ClCCl;C=1C=CC(=CC1)C,1,Pyridine,N=1C=CC=CC1,1,25,1,60.0,1,a,0,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](COCc2ccccc2)OC(OC(=Nc2ccccc2)C(F)(F)F)[C@@H]1OCc1ccccc1,CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O)[C@H](OC(C)=O)[C@H]1N=[N+]=[N-],34831210
4,"Tetrahedron Letters (2006), 47(21), 3583-3587",期刊,2006,31-010-CAS-7224533,O(CC1=CC=CC=C1)[C@@H]2[C@@H](OCC3=CC=CC=C3)C(OC(=NC4=CC=CC=C4)C(F)(F)F)O[C@H](COC(C)=O)[C@H]2OCC5=CC=CC=C5,trifluoroacetimidate,N(=[N+]=[N-])[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OC,Dichloromethane;Toluene,ClCCl;C=1C=CC(=CC1)C,1,Pyridine,N=1C=CC=CC1,1,25,1,60.0,1,a,0,CC(=O)OC[C@H]1OC(OC(=Nc2ccccc2)C(F)(F)F)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O)[C@H](OC(C)=O)[C@H]1N=[N+]=[N-],222CEABC
5,"Tetrahedron Letters (2006), 47(21), 3583-3587",期刊,2006,31-010-CAS-5089795,O(CC1=CC=CC=C1)[C@@H]2[C@@H](OCC3=CC=CC=C3)C(OC(=NC4=CC=CC=C4)C(F)(F)F)O[C@H](COC(=O)C5=CC=CC=C5)[C@H]2OCC6=CC=CC=C6,trifluoroacetimidate,N(=[N+]=[N-])[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OC,Dichloromethane;Toluene,ClCCl;C=1C=CC(=CC1)C,1,Pyridine,N=1C=CC=CC1,1,25,1,60.0,1,a,0,O=C(OC[C@H]1OC(OC(=Nc2ccccc2)C(F)(F)F)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1)c1ccccc1,CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O)[C@H](OC(C)=O)[C@H]1N=[N+]=[N-],DF6C8006
6,"Bioorganic & Medicinal Chemistry (2015), 23(23), 7439-7447",期刊,2015,31-013-CAS-4821839,O(CC1=CC=CC=C1)[C@H]2[C@@]3([C@](O[C@H](OC(=NC4=CC=CC=C4)C(F)(F)F)[C@@H]2N=[N+]=[N-])(CO[C@@H](O3)C5=CC=CC=C5)[H])[H],trifluoroacetimidate,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@@H](O)[C@@H](COC(C)=O)O[C@@H]1OCCCC=C,Dichloromethane;Methanol,ClCCl;OC,1,Trimethylsilyl triflate,O=S(=O)(O[Si](C)(C)C)C(F)(F)F,1,0,1,120.0,1,a,0,[N-]=[N+]=N[C@H]1[C@@H](OC(=Nc2ccccc2)C(F)(F)F)O[C@@H]2CO[C@H](c3ccccc3)O[C@@H]2[C@@H]1OCc1ccccc1,C=CCCCO[C@H]1O[C@H](COC(C)=O)[C@H](O)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],5DFC6660
7,"Bioorganic & Medicinal Chemistry (2015), 23(23), 7439-7447",期刊,2015,31-013-CAS-13390852,O(CC1=CC=CC=C1)[C@H]2[C@@H](OCC3=CC=CC=C3)[C@@H](COC(C)=O)O[C@@H](OC(=NC4=CC=CC=C4)C(F)(F)F)[C@@H]2N=[N+]=[N-],trifluoroacetimidate,O([Si](C(C(C)C)(C)C)(C)C)[C@H]1[C@H](N=[N+]=[N-])[C@@H](OCC2=CC=CC=C2)[C@@H](O)[C@@H](COC(C)=O)O1,Dichloromethane,ClCCl,1,Trimethylsilyl triflate,O=S(=O)(O[Si](C)(C)C)C(F)(F)F,1,25,1,120.0,1,a,0,CC(=O)OC[C@H]1O[C@@H](OC(=Nc2ccccc2)C(F)(F)F)[C@H](N=[N+]=[N-])[C@@H](OCc2ccccc2)[C@H]1OCc1ccccc1,CC(=O)OC[C@H]1O[C@@H](O[Si](C)(C)C(C)(C)C(C)C)[C@H](N=[N+]=[N-])[C@@H](OCc2ccccc2)[C@H]1O,F7BD2978
8,"Angewandte Chemie, International Edition (2013), 52(28), 7181-7185",期刊,2013,31-010-CAS-6229676,O([C@H]1[C@@H](OCC2=CC=CC=C2)[C@H](N=[N+]=[N-])[C@@H](C)OC1OC(=NC3=CC=CC=C3)C(F)(F)F)[C@@H]4[C@@H](OC(C)=O)[C@@H](OCC5=CC=CC=C5)[C@H](N=[N+]=[N-])[C@@H](C)O4,trifluoroacetimidate,O([C@H]1[C@@H](OCC2=CC=CC=C2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1SCC)[C@@H]3[C@@H](O)[C@@H](OCC4=CC=CC=C4)[C@H](N=[N+]=[N-])[C@@H](C)O3,Toluene,C=1C=CC(=CC1)C,1,Pyridine,N=1C=CC=CC1,1,100,1,60.0,1,a,0,CC(=O)O[C@@H]1[C@@H](O[C@@H]2C(OC(=Nc3ccccc3)C(F)(F)F)O[C@H](C)[C@@H](N=[N+]=[N-])[C@@H]2OCc2ccccc2)O[C@H](C)[C@@H](N=[N+]=[N-])[C@@H]1OCc1ccccc1,CCS[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O,EF7200E0
9,"Tetrahedron Letters (2006), 47(21), 3583-3587",期刊,2006,31-010-CAS-7560425,O(CC1=CC=CC=C1)[C@@H]2[C@@H](OC(C)=O)[C@H](OCC3=CC=CC=C3)[C@@H](COC(C)=O)OC2OC(=NC4=CC=CC=C4)C(F)(F)F,trifluoroacetimidate,O(C(C)=O)[C@@H]1[C@@H](OC(C)=O)[C@H](O[C@@H]2[C@@H](N=[N+]=[N-])[C@@H](OC)O[C@H](COCC3=CC=CC=C3)[C@@H]2O)O[C@H](COC(C)=O)[C@H]1OC(C)=O,Dichloromethane;Toluene,ClCCl;C=1C=CC(=CC1)C,1,Pyridine,N=1C=CC=CC1,1,25,1,60.0,1,a,0,CC(=O)OC[C@H]1OC(OC(=Nc2ccccc2)C(F)(F)F)[C@H](OCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1OCc1ccccc1,CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O)[C@H](O[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@H]1N=[N+]=[N-],76B4A9D5
10,"Carbohydrate Research (2012), 360, 56-68",期刊,2012,31-010-CAS-4299451,O(CC1=CC=CC=C1)[C@@H]2[C@@H](OCC3=CC=CC=C3)C(O/C(=N/C4=CC=CC=C4)/C(F)(F)F)O[C@H](COC(=O)C5=CC=CC=C5)[C@H]2OCC6=CC=CC=C6,trifluoroacetimidate,O([C@@H]1[C@@H](OC(=O)C2=CC=CC=C2)[C@H](O[C@@H]3[C@@H](N=[N+]=[N-])[C@@H](OC)O[C@H](COCC4=CC=CC=C4)[C@@H]3O)O[C@H](COC(C)=O)[C@H]1OCC5=CC=CC=C5)[C@H]6[C@H](OC(=O)C7=CC=CC=C7)[C@H](OC(=O)C8=CC=CC=C8)[C@@H](OC(=O)C9=CC=CC=C9)[C@H](C)O6,Dichloromethane;Toluene,ClCCl;C=1C=CC(=CC1)C,1,Diisopropylethylamine,N(C(C)C)C(C)C,1,25,1,60.0,1,a,0,O=C(OC[C@H]1OC(O/C(=N/c2ccccc2)C(F)(F)F)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1)c1ccccc1,CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O)[C@H](O[C@@H]2O[C@H](COC(C)=O)[C@@H](OCc3ccccc3)[C@H](O[C@@H]3O[C@@H](C)[C@H](OC(=O)c4ccccc4)[C@@H](OC(=O)c4ccccc4)[C@H]3OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@H]1N=[N+]=[N-],0EBAA74D
11,"Angewandte Chemie, International Edition (2013), 52(28), 7181-7185",期刊,2013,31-013-CAS-11093804,O([C@@H]1[C@@H](O[C@@H]2[C@H](OC(C)=O)C(OC(=NC3=CC=CC=C3)C(F)(F)F)O[C@H](C)[C@H]2N=[N+]=[N-])O[C@H](C)[C@@H](N=[N+]=[N-])[C@@H]1OCC4=CC=CC=C4)[C@@H]5[C@@H](OC(C)=O)[C@@H](OCC6=CC=CC=C6)[C@H](N=[N+]=[N-])[C@@H](C)O5,trifluoroacetimidate,O([C@H]1[C@@H](OCC2=CC=CC=C2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1OCCCCCC(OC)=O)[C@@H]3[C@@H](O)[C@@H](OCC4=CC=CC=C4)[C@H](N=[N+]=[N-])[C@@H](C)O3,Dichloromethane,ClCCl,1,Trimethylsilyl triflate,O=S(=O)(O[Si](C)(C)C)C(F)(F)F,1,0,1,60.0,1,a,0,CC(=O)O[C@@H]1[C@@H](O[C@@H]2[C@@H](O[C@H]3[C@H](N=[N+]=[N-])[C@@H](C)OC(OC(=Nc4ccccc4)C(F)(F)F)[C@H]3OC(C)=O)O[C@H](C)[C@@H](N=[N+]=[N-])[C@@H]2OCc2ccccc2)O[C@H](C)[C@@H](N=[N+]=[N-])[C@@H]1OCc1ccccc1,COC(=O)CCCCCO[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O,9057026A
