ID,Source,Source_Type,Year,Reaction_ID,Donor_SMILES,Donor_Type,Acceptor_SMILES,Solvent,Solvent_SMILES,has_solvent,Catalyst,Catalyst_SMILES,has_catalyst,Temp_C,has_temp,Time_min,has_time,Product_Config,Label,Donor_Canonical_SMILES,Acceptor_Canonical_SMILES,Pair_Key
1,"World Intellectual Property Organization, WO2018083490 A2 2018-05-11",专利,2018,31-013-CAS-20074828,O(CC1=CC=CC=C1)[C@@H]2[C@H](OC(C)=O)[C@@H](SC3=CC=C(C)C=C3)O[C@H](C)[C@H]2N=[N+]=[N-],thioglycoside,O(CC1=CC=CC=C1)[C@H]2[C@H](N=[N+]=[N-])[C@@H](C)O[C@H](OC)[C@H]2O,Dichloromethane,ClCCl,1,Trimethylsilyl triflate,O=S(=O)(O[Si](C)(C)C)C(F)(F)F,1,25.0,1,60.0,1,a,0,CC(=O)O[C@H]1[C@@H](OCc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1Sc1ccc(C)cc1,CO[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O,1C4D82BB
2,"ACS Central Science (2017), 3(3), 224-231",期刊,2017,31-013-CAS-17381406,O(CC1=CC=CC=C1)[C@@H]2[C@H](OC(C)=O)[C@@H](SC3=CC=C(C)C=C3)O[C@H](C)[C@H]2N=[N+]=[N-],thioglycoside,O(CC1=CC=CC=C1)[C@H]2[C@H](N=[N+]=[N-])[C@@H](C)O[C@H](OC)[C@H]2O,Dichloromethane,ClCCl,1,N-Iodosuccinimide,O=C1N(I)C(=O)CC1,1,25.0,1,60.0,1,a,0,CC(=O)O[C@H]1[C@@H](OCc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1Sc1ccc(C)cc1,CO[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O,1C4D82BB
3,"Journal of Organic Chemistry (2011), 76(15), 5895-5906",期刊,2011,31-013-CAS-13511159,O(CC1=CC=CC=C1)[C@H]2[C@H](OC(C)=O)[C@@H](CN3C(=O)C=4C(C3=O)=CC=CC4)O[C@@H](SC5=CC=CC=C5)[C@@H]2N=[N+]=[N-],thioglycoside,O(CC1=CC=CC=C1)[C@@H]2[C@@H](N=[N+]=[N-])[C@@H](OC)O[C@H](CN=[N+]=[N-])[C@H]2O,Dichloromethane;Diethyl ether,ClCCl;O(CC)CC,1,Trifluoromethanesulfonic acid,O=S(=O)(O)C(F)(F)F,1,0.0,1,60.0,1,a,0,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](Sc2ccccc2)O[C@@H]1CN1C(=O)c2ccccc2C1=O,CO[C@H]1O[C@H](CN=[N+]=[N-])[C@@H](O)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],73EF430C
4,"World Intellectual Property Organization, WO2018083490 A2 2018-05-11",专利,2018,31-013-CAS-20074830,O(CC1=CC=CC=C1)[C@@H]2[C@H](OC(C)=O)[C@@H](SC3=CC=C(C)C=C3)O[C@H](C)[C@H]2N=[N+]=[N-],thioglycoside,O([C@H]1[C@@H](OCC2=CC=CC=C2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1OC)[C@@H]3[C@@H](O)[C@@H](OCC4=CC=CC=C4)[C@H](N=[N+]=[N-])[C@@H](C)O3,Dichloromethane,ClCCl,1,Trimethylsilyl triflate,O=S(=O)(O[Si](C)(C)C)C(F)(F)F,1,25.0,1,60.0,1,a,0,CC(=O)O[C@H]1[C@@H](OCc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1Sc1ccc(C)cc1,CO[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O,5BD2A96F
5,"ACS Central Science (2017), 3(3), 224-231",期刊,2017,31-013-CAS-17381408,O(CC1=CC=CC=C1)[C@@H]2[C@H](OC(C)=O)[C@@H](SC3=CC=C(C)C=C3)O[C@H](C)[C@H]2N=[N+]=[N-],thioglycoside,O([C@H]1[C@@H](OCC2=CC=CC=C2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1OC)[C@@H]3[C@@H](O)[C@@H](OCC4=CC=CC=C4)[C@H](N=[N+]=[N-])[C@@H](C)O3,Dichloromethane,ClCCl,1,N-Iodosuccinimide,O=C1N(I)C(=O)CC1,1,25.0,1,60.0,1,a,0,CC(=O)O[C@H]1[C@@H](OCc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1Sc1ccc(C)cc1,CO[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O,5BD2A96F
6,"Canadian Journal of Chemistry (1989), 67(3), 491-6",期刊,1989,31-013-CAS-14145593,O([C@H]1[C@@H](OCC2=CC=CC=C2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1SCC)[C@@H]3[C@@H](OC(C)=O)[C@@H](OCC4=CC=CC=C4)[C@H](N=[N+]=[N-])[C@@H](C)O3,thioglycoside,O(CC1=CC=CC=C1)[C@H]2[C@H](N=[N+]=[N-])[C@@H](C)O[C@H](OC)[C@H]2O,Dichloromethane,ClCCl,1,Methyl triflate,O=S(=O)(OC)C(F)(F)F,1,,0,,0,a,0,CCS[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1OC(C)=O,CO[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O,5F5B7B84
7,"RSC Advances (2019), 9(62), 36440-36454",期刊,2019,31-013-CAS-22581512,O(C(=O)C1=CC=CC=C1)[C@H]2[C@@H](OCC3=CC=CC=C3)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]2SCC,thioglycoside,O(CC1=CC=CC=C1)[C@H]2[C@H](N=[N+]=[N-])[C@@H](C)O[C@H](OCC[Si](C)(C)C)[C@H]2O,Dichloromethane,ClCCl,1,Trimethylsilyl triflate,O=S(=O)(O[Si](C)(C)C)C(F)(F)F,1,0.0,1,15.0,1,a,0,CCS[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1OC(=O)c1ccccc1,C[C@H]1O[C@H](OCC[Si](C)(C)C)[C@@H](O)[C@@H](OCc2ccccc2)[C@@H]1N=[N+]=[N-],64EA3C26
8,"Journal of Carbohydrate Chemistry (2012), 31(9), 673-685",期刊,2012,31-013-CAS-9001704,O(CC1=CC=CC=C1)[C@@H]2[C@@H](N=[N+]=[N-])[C@@H](SCC)O[C@H](CI)[C@H]2OC,thioglycoside,O(CC1=CC=CC=C1)[C@@H]2[C@@H](N=[N+]=[N-])[C@@H](OC)O[C@H](CI)[C@H]2O,Dichloromethane;Toluene,ClCCl;C=1C=CC(=CC1)C,1,Silver triflate,[Ag].O=S(=O)(O)C(F)(F)F,1,-20.0,1,15.0,1,a,0,CCS[C@H]1O[C@H](CI)[C@@H](OC)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],CO[C@H]1O[C@H](CI)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],A27828AE
9,"World Intellectual Property Organization, WO2018083490 A2 2018-05-11",专利,2018,31-013-CAS-20074832,O(CC1=CC=CC=C1)[C@@H]2[C@H](OC(C)=O)[C@@H](SC3=CC=C(C)C=C3)O[C@H](C)[C@H]2N=[N+]=[N-],thioglycoside,O([C@@H]1[C@@H](O[C@H]2[C@@H](OCC3=CC=CC=C3)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]2OC)O[C@H](C)[C@@H](N=[N+]=[N-])[C@@H]1OCC4=CC=CC=C4)[C@@H]5[C@@H](O)[C@@H](OCC6=CC=CC=C6)[C@H](N=[N+]=[N-])[C@@H](C)O5,Dichloromethane,ClCCl,1,Trimethylsilyl triflate,O=S(=O)(O[Si](C)(C)C)C(F)(F)F,1,25.0,1,60.0,1,a,0,CC(=O)O[C@H]1[C@@H](OCc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1Sc1ccc(C)cc1,CO[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O,286053B7
10,"ACS Central Science (2017), 3(3), 224-231",期刊,2017,31-013-CAS-17381410,O(CC1=CC=CC=C1)[C@@H]2[C@H](OC(C)=O)[C@@H](SC3=CC=C(C)C=C3)O[C@H](C)[C@H]2N=[N+]=[N-],thioglycoside,O([C@@H]1[C@@H](O[C@H]2[C@@H](OCC3=CC=CC=C3)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]2OC)O[C@H](C)[C@@H](N=[N+]=[N-])[C@@H]1OCC4=CC=CC=C4)[C@@H]5[C@@H](O)[C@@H](OCC6=CC=CC=C6)[C@H](N=[N+]=[N-])[C@@H](C)O5,Dichloromethane,ClCCl,1,N-Iodosuccinimide,O=C1N(I)C(=O)CC1,1,25.0,1,60.0,1,a,0,CC(=O)O[C@H]1[C@@H](OCc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](C)O[C@@H]1Sc1ccc(C)cc1,CO[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](C)[C@@H](N=[N+]=[N-])[C@H](OCc2ccccc2)[C@@H]1O,286053B7
